trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-132.36,38.89,-174.04
0,1,0.00806,-1.10,0.33,-1.46,-137.12,40.41,-180.68
0,2,0.01631,-2.04,0.71,-3.01,-113.12,46.74,-188.17
0,3,0.02509,-2.97,1.09,-4.56,-106.43,43.70,-177.04
0,4,0.03322,-3.43,1.45,-5.83,-56.29,44.18,-155.72
0,5,0.04210,-3.89,1.81,-7.10,-51.55,40.46,-142.61
0,6,0.04971,-4.08,2.19,-8.29,-24.85,49.22,-156.71
0,7,0.05811,-4.27,2.56,-9.48,-22.55,44.34,-141.82
0,8,0.06630,-4.20,2.90,-10.44,8.19,41.06,-117.69
0,9,0.07541,-4.13,3.23,-11.41,7.37,36.76,-105.86
0,10,0.08322,-3.74,3.46,-11.92,50.00,29.62,-66.02
0,11,0.09157,-3.35,3.69,-12.44,46.80,27.39,-61.79
0,12,0.09972,-2.51,3.82,-12.47,103.37,15.22,-4.12
0,13,0.10854,-1.67,3.94,-12.51,95.50,13.71,-3.81
0,14,0.11662,-0.73,4.01,-12.35,116.23,9.03,18.87
0,15,0.12556,0.21,4.08,-12.20,105.12,8.07,17.06
0,16,0.13322,0.78,4.15,-12.20,73.31,8.90,0.00
0,17,0.14146,1.34,4.22,-12.20,68.15,8.09,0.00
0,18,0.14964,1.45,4.29,-12.41,13.43,8.83,-25.75
0,19,0.15796,1.56,4.36,-12.62,13.21,8.53,-25.32
0,20,0.16629,1.49,4.43,-12.89,-8.06,8.13,-31.87
0,21,0.17494,1.42,4.49,-13.15,-7.76,7.63,-30.69
0,22,0.18361,1.21,4.56,-13.49,-23.94,7.88,-38.38
0,23,0.19160,1.01,4.63,-13.82,-25.95,8.63,-41.60
0,24,0.19995,0.70,4.71,-14.23,-36.56,9.26,-48.99
0,25,0.20793,0.40,4.79,-14.64,-38.24,9.75,-51.24
0,26,0.21655,0.01,4.88,-15.16,-45.31,11.47,-61.24
0,27,0.22475,-0.38,4.99,-15.69,-47.67,12.34,-64.43
0,28,0.23370,-0.78,5.09,-16.22,-43.61,11.27,-58.94
0,29,0.24132,-1.17,5.19,-16.75,-51.30,13.44,-69.34
0,30,0.24959,-1.68,5.33,-17.38,-61.99,16.53,-76.38
0,31,0.25804,-2.19,5.44,-18.01,-60.65,13.81,-74.73
0,32,0.26631,-2.82,5.58,-18.77,-76.01,17.04,-91.88
0,33,0.27469,-3.45,5.72,-19.53,-75.05,16.72,-90.71
0,34,0.28329,-4.22,5.90,-20.48,-89.36,20.48,-110.28
0,35,0.29153,-4.99,6.08,-21.43,-93.33,21.59,-115.19
0,36,0.29971,-5.91,6.30,-22.61,-113.43,27.48,-144.40
0,37,0.30811,-6.84,6.53,-23.79,-110.55,26.79,-141.09
0,38,0.31641,-7.90,6.79,-25.16,-127.21,31.20,-163.97
0,39,0.32512,-8.95,7.05,-26.52,-121.19,29.72,-156.22
0,40,0.33310,-10.11,7.33,-28.02,-145.32,36.09,-187.76
0,41,0.34135,-11.27,7.62,-29.51,-140.48,34.50,-181.52
0,42,0.34964,-12.51,7.93,-31.12,-148.80,37.17,-193.37
