trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-16.24,0.61,-5.17
0,1,0.00839,-0.13,0.01,-0.04,-16.00,0.60,-5.09
0,2,0.01669,-0.49,0.02,-0.16,-42.65,1.69,-13.60
0,3,0.02509,-0.84,0.03,-0.27,-42.18,1.63,-13.45
0,4,0.03339,-1.39,0.05,-0.43,-65.44,2.47,-19.85
0,5,0.04178,-1.93,0.07,-0.60,-64.73,2.49,-19.64
0,6,0.05002,-2.47,0.10,-0.76,-65.93,2.54,-20.00
0,7,0.05844,-3.02,0.12,-0.93,-64.49,2.43,-19.57
0,8,0.06668,-3.56,0.14,-1.09,-65.93,2.54,-20.00
0,9,0.07513,-4.10,0.16,-1.26,-63.90,2.42,-19.49
0,10,0.08340,-4.58,0.17,-1.39,-58.67,2.11,-15.87
0,11,0.09177,-5.07,0.19,-1.52,-57.66,2.12,-15.69
0,12,0.09998,-5.38,0.20,-1.48,-37.92,0.54,5.20
0,13,0.10849,-5.69,0.20,-1.43,-36.56,0.56,5.02
0,14,0.11673,-6.00,0.21,-1.39,-37.78,0.53,5.19
0,15,0.12506,-6.31,0.21,-1.35,-37.36,0.57,5.13
0,16,0.13333,-6.62,0.21,-1.31,-37.64,0.53,5.17
0,17,0.14185,-6.93,0.22,-1.26,-36.56,0.56,5.02
0,18,0.15009,-7.14,0.22,-1.26,-24.81,0.48,0.74
0,19,0.15845,-7.34,0.23,-1.25,-24.45,0.48,0.73
0,20,0.16675,-7.55,0.23,-1.25,-24.63,0.48,0.74
0,21,0.17520,-7.75,0.24,-1.24,-23.83,0.51,0.72
0,22,0.18347,-7.86,0.24,-1.27,-13.65,0.46,-3.32
0,23,0.19189,-7.97,0.24,-1.30,-13.41,0.51,-3.62
0,24,0.20010,-7.98,0.25,-1.37,-0.37,0.48,-9.29
0,25,0.20850,-7.98,0.25,-1.45,-0.36,0.52,-9.09
0,26,0.21686,-7.98,0.26,-1.53,-0.36,0.48,-9.12
0,27,0.22525,-7.99,0.26,-1.61,-0.36,0.50,-9.45
0,28,0.23349,-8.02,0.27,-1.78,-3.70,1.26,-21.48
0,29,0.24188,-8.05,0.28,-1.96,-3.64,1.21,-21.45
0,30,0.25027,-8.14,0.30,-2.22,-10.55,1.91,-30.91
0,31,0.25858,-8.23,0.31,-2.48,-11.03,1.92,-31.62
0,32,0.26685,-8.40,0.34,-2.85,-21.40,2.85,-44.65
0,33,0.27533,-8.58,0.36,-3.23,-21.22,2.82,-44.24
0,34,0.28348,-8.92,0.40,-3.78,-41.20,4.53,-67.42
0,35,0.29193,-9.26,0.43,-4.33,-40.07,4.34,-65.34
0,36,0.30017,-9.75,0.48,-5.06,-59.26,6.07,-88.89
0,37,0.30859,-10.24,0.53,-5.80,-58.33,5.92,-87.32
0,38,0.31693,-10.80,0.59,-6.68,-67.77,7.18,-106.23
0,39,0.32532,-11.37,0.65,-7.57,-67.27,7.15,-105.82
0,40,0.33356,-11.92,0.72,-8.59,-66.67,8.05,-123.70
0,41,0.34201,-12.47,0.79,-9.61,-64.98,7.89,-120.58
0,42,0.35019,-13.02,0.85,-10.64,-68.28,8.23,-126.49
0,43,0.35861,-13.57,0.92,-11.66,-65.22,7.92,-121.01
0,44,0.36697,-14.12,0.99,-12.68,-65.69,7.93,-121.90
0,45,0.37534,-14.66,1.05,-13.71,-64.60,7.97,-122.26
0,46,0.38354,-14.98,1.12,-14.75,-38.29,7.63,-127.14
0,47,0.39197,-15.29,1.18,-15.79,-36.96,7.44,-123.55
0,48,0.40024,-15.46,1.24,-16.78,-21.03,6.81,-119.19
0,49,0.40863,-15.63,1.29,-17.76,-20.36,6.69,-117.09
0,50,0.41699,-15.73,1.34,-18.64,-10.95,5.90,-105.47
0,51,0.42535,-15.82,1.39,-19.52,-10.95,5.86,-105.47
0,52,0.43365,-15.91,1.44,-20.40,-11.03,5.91,-106.25
0,53,0.44202,-16.00,1.49,-21.28,-10.58,5.87,-105.11
0,54,0.45029,-16.05,1.53,-22.07,-6.64,5.22,-95.20
0,55,0.45868,-16.11,1.57,-22.86,-6.55,5.18,-93.82
0,56,0.46692,-16.16,1.62,-23.65,-6.67,5.23,-95.56
0,57,0.47540,-16.22,1.66,-24.43,-6.83,5.11,-92.45
0,58,0.48367,-16.29,1.70,-25.12,-8.86,4.61,-83.03
0,59,0.49207,-16.37,1.74,-25.80,-8.73,4.59,-81.82
0,60,0.50027,-16.44,1.78,-26.49,-8.92,4.65,-83.64
0,61,0.50876,-16.52,1.81,-27.17,-8.99,4.52,-80.58
0,62,0.51706,-16.67,1.85,-27.77,-18.75,4.26,-71.69
0,63,0.52539,-16.83,1.88,-28.36,-18.68,4.20,-71.43
0,64,0.53363,-16.98,1.92,-28.96,-18.89,4.29,-72.22
0,65,0.54214,-17.14,1.95,-29.55,-18.64,4.10,-69.53
0,66,0.55038,-17.40,1.99,-30.08,-31.48,4.15,-64.44
0,67,0.55875,-17.67,2.02,-30.60,-31.75,4.00,-62.41
0,68,0.56708,-18.06,2.05,-30.98,-47.62,3.49,-45.05
0,69,0.57541,-18.46,2.08,-31.35,-47.62,3.44,-45.05
0,70,0.58365,-18.86,2.11,-31.73,-48.15,3.48,-45.56
0,71,0.59213,-19.26,2.14,-32.10,-47.48,3.36,-43.53
0,72,0.60037,-19.76,2.16,-32.38,-60.74,3.16,-33.70
0,73,0.60880,-20.25,2.19,-32.65,-58.70,3.05,-32.61
0,74,0.61716,-20.75,2.21,-32.93,-59.12,3.03,-32.85
0,75,0.62555,-21.24,2.24,-33.20,-58.91,3.02,-32.73
0,76,0.63379,-21.74,2.27,-33.47,-60.00,3.08,-33.33
0,77,0.64218,-22.24,2.29,-33.75,-59.64,3.06,-32.36
0,78,0.65039,-22.83,2.32,-33.97,-72.49,3.02,-27.14
0,79,0.65881,-23.43,2.34,-34.19,-70.65,2.98,-26.45
0,80,0.66721,-24.02,2.37,-34.41,-70.91,2.95,-26.55
0,81,0.67551,-24.62,2.39,-34.64,-71.69,2.99,-26.84
0,82,0.68384,-25.21,2.42,-34.86,-71.43,3.02,-26.74
0,83,0.69223,-25.82,2.44,-35.08,-72.00,3.02,-26.55
0,84,0.70050,-26.54,2.47,-35.30,-87.82,3.30,-26.20
0,85,0.70883,-27.27,2.50,-35.52,-87.18,3.28,-26.01
0,86,0.71716,-28.00,2.52,-35.73,-87.18,3.32,-26.01
0,87,0.72546,-28.72,2.55,-35.95,-87.50,3.29,-26.10
0,88,0.73383,-29.45,2.58,-36.17,-86.86,3.31,-25.91
0,89,0.74219,-30.18,2.61,-36.39,-87.23,3.29,-26.28
0,90,0.75049,-30.97,2.64,-36.65,-95.22,3.79,-32.35
0,91,0.75888,-31.76,2.67,-36.92,-94.18,3.80,-32.00
0,92,0.76721,-32.55,2.70,-37.19,-94.87,3.78,-32.23
0,93,0.77551,-33.34,2.73,-37.46,-95.22,3.84,-32.35
0,94,0.78375,-34.13,2.76,-37.73,-95.93,3.82,-32.59
0,95,0.79224,-34.92,2.80,-38.00,-93.17,3.71,-31.65
0,96,0.80051,-35.71,2.83,-38.27,-95.57,3.81,-32.47
0,97,0.80890,-36.50,2.86,-38.53,-94.18,3.80,-32.00
0,98,0.81717,-37.29,2.89,-38.80,-95.57,3.81,-32.47
0,99,0.82559,-38.08,2.92,-39.07,-93.84,3.78,-31.88
0,100,0.83380,-38.87,2.95,-39.34,-96.28,3.84,-32.71
0,101,0.84219,-39.66,2.98,-39.60,-93.82,3.71,-31.27
0,102,0.85059,-40.41,3.01,-39.78,-88.73,3.07,-21.45
0,103,0.85892,-41.15,3.04,-39.96,-89.38,3.14,-21.61
0,104,0.86719,-41.89,3.06,-40.14,-90.04,3.11,-21.77
0,105,0.87564,-42.63,3.09,-40.32,-87.36,3.06,-20.94
0,106,0.88385,-43.29,3.11,-40.43,-79.93,2.42,-13.01
0,107,0.89224,-43.95,3.13,-40.53,-78.18,2.41,-12.73
0,108,0.90054,-44.60,3.15,-40.64,-79.04,2.39,-12.87
0,109,0.90894,-45.25,3.17,-40.74,-77.82,2.37,-12.00
0,110,0.91718,-45.88,3.18,-40.78,-76.30,1.90,-4.81
0,111,0.92563,-46.51,3.20,-40.82,-74.37,1.90,-4.69
0,112,0.93393,-47.14,3.22,-40.86,-75.74,1.89,-4.78
0,113,0.94235,-47.79,3.23,-40.90,-77.17,1.90,-4.35
0,114,0.95065,-48.54,3.25,-40.92,-89.71,2.12,-2.57
0,115,0.95895,-49.24,3.27,-40.94,-85.29,2.00,-2.21
0,116,0.96725,-49.54,3.27,-40.94,-35.29,0.79,-0.74
0,117,0.97562,-49.83,3.28,-40.95,-35.04,0.79,-0.73
0,118,0.98395,-50.12,3.29,-40.95,-35.16,0.83,-0.73
0,119,0.99231,-50.42,3.29,-40.96,-35.04,0.79,-0.73
0,120,1.00061,-50.71,3.30,-40.97,-35.29,0.80,-0.74
0,121,1.00906,-50.99,3.31,-40.97,-32.85,0.76,-0.36
0,122,1.01743,-51.08,3.31,-40.97,-11.68,0.26,-0.36
1,0,0.00000,0.00,0.00,0.00,16.88,-2.80,-1.47
1,1,0.00826,0.14,-0.02,-0.01,17.01,-2.84,-1.48
1,2,0.01663,0.51,-0.09,-0.04,43.72,-7.49,-3.64
1,3,0.02515,0.87,-0.15,-0.07,43.01,-7.79,-3.58
1,4,0.03334,1.44,-0.26,-0.13,69.27,-12.91,-6.70
1,5,0.04160,2.00,-0.37,-0.18,68.02,-13.64,-6.65
1,6,0.04984,2.56,-0.49,-0.24,68.15,-14.25,-6.67
