trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-67.65,-8.10,76.84
0,1,0.00858,-0.54,-0.07,0.63,-62.63,-7.89,74.02
0,2,0.01669,-1.07,-0.13,1.27,-66.17,-8.24,78.20
0,3,0.02512,-1.61,-0.20,1.90,-63.77,-7.99,75.36
0,4,0.03339,-2.15,-0.27,2.53,-64.58,-8.06,76.01
0,5,0.04184,-2.56,-0.32,3.06,-49.46,-6.58,62.09
0,6,0.05002,-2.98,-0.38,3.58,-51.12,-6.80,64.18
0,7,0.05850,-3.40,-0.44,4.11,-49.28,-6.51,61.87
0,8,0.06668,-3.81,-0.49,4.63,-50.75,-6.72,63.43
0,9,0.07568,-4.11,-0.54,5.05,-32.54,-5.00,46.78
0,10,0.08334,-4.39,-0.58,5.47,-37.45,-5.83,54.58
0,11,0.09186,-4.58,-0.62,5.80,-22.22,-4.17,39.78
0,12,0.10016,-4.77,-0.65,6.14,-22.06,-4.33,40.44
0,13,0.10855,-4.84,-0.68,6.39,-8.36,-3.11,29.82
0,14,0.11670,-4.90,-0.70,6.64,-7.87,-3.26,30.34
0,15,0.12515,-4.84,-0.72,6.79,7.58,-1.91,18.05
0,16,0.13403,-4.77,-0.74,6.94,7.90,-1.83,16.84
0,17,0.14175,-4.55,-0.74,7.02,28.46,-1.06,9.88
0,18,0.15012,-4.33,-0.75,7.09,26.28,-1.02,9.12
0,19,0.15851,-4.11,-0.76,7.17,26.18,-0.97,9.09
0,20,0.16672,-3.88,-0.77,7.24,27.51,-0.95,8.92
0,21,0.17575,-3.49,-0.77,7.28,42.91,-0.49,4.39
0,22,0.18347,-3.10,-0.78,7.32,50.59,-0.62,5.14
0,23,0.19180,-2.72,-0.78,7.36,46.52,-0.53,4.76
0,24,0.20010,-2.32,-0.79,7.40,47.79,-0.58,4.78
0,25,0.20859,-1.76,-0.79,7.44,66.19,-0.58,4.68
0,26,0.21677,-1.20,-0.80,7.48,67.91,-0.60,4.85
0,27,0.22519,-0.65,-0.80,7.52,65.94,-0.54,4.71
0,28,0.23410,-0.08,-0.81,7.56,63.36,-0.55,4.45
