trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,62.32,-62.68,217.03
0,1,0.00830,0.74,-0.51,1.50,88.60,-61.57,180.88
0,2,0.01672,1.47,-1.02,2.99,87.32,-60.29,176.45
0,3,0.02502,2.20,-1.49,4.29,88.24,-56.44,156.99
0,4,0.03339,2.94,-1.95,5.58,87.59,-55.65,154.38
0,5,0.04175,3.65,-2.38,6.73,85.77,-51.33,137.23
0,6,0.05011,4.37,-2.81,7.86,85.40,-51.06,135.77
0,7,0.05835,5.04,-3.20,8.87,81.48,-46.97,121.48
0,8,0.06677,5.71,-3.58,9.87,79.71,-45.95,118.84
0,9,0.07501,6.38,-3.97,10.87,81.48,-46.96,121.48
0,10,0.08344,7.04,-4.35,11.87,78.62,-45.59,118.48
0,11,0.09167,7.61,-4.70,12.82,68.52,-42.45,115.93
0,12,0.10016,8.17,-5.05,13.78,66.55,-41.23,112.59
0,13,0.10840,8.74,-5.40,14.73,68.52,-42.40,115.93
0,14,0.11682,9.30,-5.75,15.68,66.30,-41.26,113.04
0,15,0.12506,9.79,-6.07,16.59,60.00,-39.05,109.63
0,16,0.13348,10.28,-6.39,17.48,58.33,-37.61,105.80
0,17,0.14172,10.73,-6.66,18.20,54.44,-32.76,87.78
0,18,0.15021,11.18,-6.93,18.92,52.88,-31.82,85.25
0,19,0.15845,11.63,-7.20,19.65,54.44,-32.90,87.78
0,20,0.16681,12.07,-7.47,20.36,52.92,-31.94,85.77
0,21,0.17517,12.42,-7.70,21.01,41.61,-27.32,77.37
0,22,0.18353,12.76,-7.92,21.66,40.51,-26.90,77.37
0,23,0.19183,13.00,-8.13,22.32,29.41,-24.81,80.15
0,24,0.20026,13.23,-8.33,22.99,27.54,-24.23,79.71
0,25,0.20850,13.34,-8.52,23.73,13.33,-22.75,89.63
0,26,0.21692,13.44,-8.70,24.48,11.59,-22.04,88.41
0,27,0.22522,13.39,-8.88,25.34,-6.25,-20.71,103.31
0,28,0.23364,13.33,-9.02,26.21,-6.88,-16.67,103.62
0,29,0.24188,13.19,-9.21,27.23,-16.67,-23.18,124.44
0,30,0.25024,13.06,-9.40,28.26,-16.42,-23.19,122.63
0,31,0.25854,12.92,-9.59,29.28,-16.54,-22.71,123.53
0,32,0.26691,12.79,-9.77,30.32,-15.69,-21.82,123.36
0,33,0.27527,12.71,-9.97,31.41,-8.76,-23.52,130.66
0,34,0.28357,12.64,-10.16,32.50,-8.82,-23.55,131.62
0,35,0.29187,12.57,-10.36,33.59,-8.82,-23.74,131.62
0,36,0.30023,12.50,-10.56,34.69,-8.03,-23.69,130.66
0,37,0.30853,12.51,-10.77,35.78,0.74,-25.77,131.25
0,38,0.31696,12.51,-10.99,36.87,0.72,-25.45,129.35
0,39,0.32532,12.52,-11.20,37.95,0.73,-25.64,130.29
1,0,0.00000,0.00,0.00,0.00,26.10,-27.44,226.10
1,1,0.00842,0.47,-0.18,1.61,55.43,-20.90,190.58
1,2,0.01660,0.94,-0.35,3.19,57.84,-21.04,193.28
1,3,0.02502,1.44,-0.50,4.60,59.42,-17.61,167.39
1,4,0.03333,1.94,-0.64,5.98,60.29,-17.53,167.28
1,5,0.04175,2.45,-0.77,7.24,60.51,-15.17,148.91
1,6,0.04999,2.96,-0.89,8.47,61.48,-15.16,150.00
1,7,0.05841,3.45,-1.00,9.58,57.97,-12.95,130.80
1,8,0.06677,3.93,-1.11,10.68,58.39,-13.04,131.75
1,9,0.07507,4.42,-1.22,11.78,58.82,-13.14,132.72
1,10,0.08337,4.90,-1.33,12.88,57.35,-13.15,131.99
1,11,0.09180,5.29,-1.44,13.91,46.74,-12.76,123.19
1,12,0.10010,5.69,-1.55,14.95,47.43,-12.90,125.00
1,13,0.10846,6.08,-1.65,15.99,47.08,-12.85,124.09
1,14,0.11676,6.46,-1.76,17.02,46.32,-12.88,124.26
1,15,0.12512,6.80,-1.86,18.00,39.78,-12.41,116.79
1,16,0.13342,7.13,-1.96,18.95,39.71,-12.10,114.71
1,17,0.14185,7.44,-2.04,19.74,37.68,-9.57,93.84
1,18,0.15009,7.76,-2.13,20.53,38.52,-9.78,95.93
1,19,0.15851,8.08,-2.21,21.32,37.68,-9.57,93.84
1,20,0.16687,8.39,-2.29,22.10,36.86,-9.53,93.07
1,21,0.17517,8.62,-2.36,22.79,27.94,-8.94,83.82
1,22,0.18347,8.84,-2.43,23.49,26.47,-9.00,83.82
1,23,0.19189,8.96,-2.52,24.19,14.86,-9.74,82.61
1,24,0.20013,9.07,-2.60,24.89,12.96,-10.16,85.19
1,25,0.20856,9.05,-2.70,25.63,-2.17,-11.58,88.41
1,26,0.21686,9.01,-2.80,26.39,-5.15,-12.15,90.81
1,27,0.22528,8.81,-2.92,27.22,-23.55,-14.48,99.28
1,28,0.23346,8.60,-3.05,28.08,-26.12,-15.38,104.48
1,29,0.24194,8.29,-3.20,29.06,-36.69,-17.64,116.55
1,30,0.25018,7.97,-3.35,30.05,-37.78,-18.21,120.00
1,31,0.25879,7.66,-3.50,31.04,-36.17,-17.39,114.89
1,32,0.26697,7.36,-3.65,32.04,-37.31,-18.39,122.01
1,33,0.27527,7.10,-3.80,33.10,-31.25,-18.79,127.94
1,34,0.28351,6.84,-3.96,34.16,-31.48,-18.84,128.89
1,35,0.29193,6.58,-4.11,35.23,-30.80,-18.52,126.09
1,36,0.30017,6.33,-4.27,36.29,-30.37,-18.81,129.26
1,37,0.30859,6.15,-4.42,37.37,-21.38,-18.05,127.54
1,38,0.31689,5.97,-4.57,38.44,-21.69,-18.32,129.41
1,39,0.32532,5.79,-4.72,39.52,-21.74,-18.08,127.90
2,0,0.00000,0.00,0.00,0.00,-172.99,70.64,131.39
2,1,0.00836,-1.20,0.52,1.17,-143.80,62.52,139.42
2,2,0.01666,-2.33,1.02,2.30,-135.29,59.53,137.13
2,3,0.02502,-3.34,1.47,3.41,-121.17,54.39,131.75
2,4,0.03326,-4.29,1.90,4.48,-115.56,52.24,130.37
2,5,0.04169,-5.16,2.30,5.52,-102.90,47.77,123.19
2,6,0.04999,-5.98,2.69,6.52,-98.53,45.87,120.59
2,7,0.05841,-6.72,3.04,7.46,-88.41,41.64,112.32
2,8,0.06677,-7.46,3.39,8.41,-89.05,41.76,113.14
2,9,0.07507,-8.21,3.74,9.36,-89.71,42.45,113.97
2,10,0.08331,-8.95,4.08,10.26,-89.63,41.46,109.26
2,11,0.09174,-9.68,4.46,11.09,-86.96,45.09,98.91
2,12,0.10004,-10.41,4.78,11.92,-88.24,38.67,100.37
2,13,0.10846,-11.15,5.10,12.76,-86.96,38.03,98.91
2,14,0.11682,-11.87,5.42,13.56,-86.86,37.70,95.62
2,15,0.12512,-12.58,5.72,14.31,-85.29,36.39,90.44
2,16,0.13336,-13.23,5.99,15.02,-78.52,33.27,86.30
2,17,0.14178,-13.78,6.22,15.67,-65.22,27.55,77.17
2,18,0.15002,-14.32,6.45,16.32,-66.67,27.86,78.89
2,19,0.15845,-14.87,6.68,16.97,-65.22,27.45,77.17
2,20,0.16675,-15.41,6.91,17.57,-63.97,26.56,72.79
2,21,0.17511,-15.91,7.11,18.10,-60.58,24.48,63.50
2,22,0.18335,-16.44,7.32,18.60,-63.70,24.97,60.00
2,23,0.19183,-16.99,7.52,19.03,-65.47,24.45,51.44
2,24,0.20001,-17.59,7.74,19.43,-73.13,26.02,48.13
2,25,0.20856,-18.26,7.96,19.76,-77.86,26.29,38.93
2,26,0.21680,-18.99,8.20,20.04,-88.89,28.79,34.44
2,27,0.22522,-19.82,8.45,20.26,-98.55,30.12,25.72
2,28,0.23346,-20.73,8.73,20.47,-110.37,33.54,24.81
2,29,0.24182,-21.75,9.03,20.65,-121.90,36.53,22.26
2,30,0.25012,-22.77,9.34,20.84,-122.79,36.50,22.43
2,31,0.25854,-23.79,9.64,21.02,-121.01,36.16,22.10
2,32,0.26685,-24.82,9.95,21.24,-125.00,37.76,26.47
2,33,0.27521,-25.89,10.28,21.51,-127.01,39.01,31.75
2,34,0.28345,-26.95,10.61,21.77,-128.89,39.58,32.22
2,35,0.29187,-28.01,10.93,22.04,-126.09,38.53,31.52
2,36,0.30011,-29.06,11.26,22.34,-127.41,39.82,35.93
2,37,0.30859,-30.09,11.58,22.68,-121.58,38.18,40.29
2,38,0.31696,-31.12,11.91,23.02,-123.36,39.31,40.88
2,39,0.32526,-32.15,12.24,23.36,-124.26,39.40,41.18
3,0,0.00000,0.00,0.00,0.00,95.96,156.34,204.04
3,1,0.00836,0.94,1.19,1.39,112.41,141.95,165.69
3,2,0.01666,1.87,2.35,2.73,112.50,140.14,162.13
3,3,0.02502,2.78,3.41,3.92,108.39,126.99,141.97
3,4,0.03326,3.68,4.46,5.08,109.26,126.95,140.74
3,5,0.04175,4.55,5.42,6.11,102.52,113.60,121.94
3,6,0.04987,5.41,6.37,7.12,105.64,116.26,124.44
3,7,0.05823,6.21,7.22,8.02,95.99,102.68,107.66
3,8,0.06653,7.01,8.08,8.92,96.69,103.66,108.46
3,9,0.07495,7.82,8.87,9.82,95.29,93.36,106.88
3,10,0.08325,8.60,9.59,10.72,94.12,86.81,107.72
3,11,0.09161,9.29,10.22,11.58,82.85,75.15,103.65
