trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,34.31,3.29,22.26
0,1,0.00821,0.29,0.03,0.19,34.94,3.30,22.68
0,2,0.01724,0.69,0.06,0.45,44.26,4.15,29.39
0,3,0.02493,1.09,0.10,0.72,51.98,5.02,34.52
0,4,0.03333,1.49,0.14,0.98,47.64,4.47,31.64
0,5,0.04163,1.89,0.18,1.25,48.16,4.61,31.99
0,6,0.04996,2.33,0.22,1.57,53.48,5.02,39.19
0,7,0.05817,2.78,0.26,1.90,54.28,5.19,39.78
0,8,0.06662,3.22,0.31,2.23,52.71,4.99,38.63
0,9,0.07498,3.67,0.35,2.55,53.28,5.09,39.05
0,10,0.08401,4.11,0.39,2.88,49.32,4.63,36.15
0,11,0.09164,4.56,0.43,3.21,58.40,5.53,42.80
0,12,0.10001,5.00,0.47,3.53,53.28,5.05,39.05
0,13,0.10828,5.45,0.52,3.86,53.87,5.15,39.48
0,14,0.11716,5.80,0.55,4.18,38.83,3.68,35.74
0,15,0.12488,6.14,0.58,4.50,44.66,4.23,41.11
0,16,0.13339,6.48,0.61,4.81,40.50,3.79,37.28
0,17,0.14166,6.83,0.65,5.13,41.70,4.00,38.38
0,18,0.14999,7.17,0.68,5.45,41.39,3.92,38.10
0,19,0.15826,7.52,0.71,5.76,41.70,3.95,38.38
0,20,0.16669,7.73,0.73,6.05,25.36,2.40,34.06
0,21,0.17551,7.95,0.75,6.34,24.22,2.34,32.53
0,22,0.18335,8.16,0.77,6.63,27.24,2.58,36.58
0,23,0.19156,8.37,0.79,6.91,26.02,2.51,34.94
0,24,0.20004,8.43,0.80,7.14,6.83,0.64,27.34
0,25,0.20834,8.49,0.81,7.38,6.99,0.70,27.94
0,26,0.21667,8.55,0.81,7.61,6.96,0.61,27.84
0,27,0.22498,8.61,0.82,7.84,6.99,0.70,27.94
0,28,0.23407,8.52,0.81,7.99,-9.06,-0.83,16.78
0,29,0.24167,8.44,0.80,8.15,-11.24,-1.07,20.48
0,30,0.25012,8.36,0.79,8.30,-9.75,-0.89,18.05
0,31,0.25839,8.27,0.79,8.45,-10.33,-0.99,18.45
0,32,0.26736,8.14,0.77,8.51,-14.29,-1.33,6.12
0,33,0.27502,8.01,0.76,8.56,-16.73,-1.55,7.17
0,34,0.28348,7.89,0.75,8.62,-15.16,-1.45,6.50
0,35,0.29178,7.76,0.74,8.67,-15.44,-1.43,6.62
0,36,0.30014,7.63,0.73,8.73,-15.33,-1.47,6.57
0,37,0.30838,7.50,0.71,8.78,-15.56,-1.49,6.67
0,38,0.31677,7.42,0.71,8.77,-9.45,-0.87,-1.82
0,39,0.32562,7.34,0.70,8.75,-8.97,-0.87,-1.72
