trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-14.87,-1.79,-19.82
0,1,0.00799,-0.18,-0.02,-0.30,-22.54,-2.95,-37.06
0,2,0.01656,-0.53,-0.07,-1.03,-40.61,-5.82,-85.13
0,3,0.02459,-0.83,-0.12,-1.78,-37.99,-5.99,-93.45
0,4,0.03300,-1.11,-0.17,-2.54,-33.36,-5.50,-90.30
0,5,0.04126,-1.67,-0.26,-4.03,-67.28,-11.13,-180.78
0,6,0.04980,-2.31,-0.37,-5.80,-75.00,-12.52,-207.14
0,7,0.05795,-3.16,-0.51,-8.19,-103.84,-17.61,-294.28
0,8,0.06640,-4.13,-0.68,-10.97,-115.16,-19.69,-328.16
0,9,0.07449,-5.22,-0.86,-14.13,-134.21,-23.13,-390.57
0,10,0.08295,-6.30,-1.05,-17.29,-128.40,-22.13,-373.67
0,11,0.09142,-7.39,-1.24,-20.45,-128.29,-22.11,-373.33
0,12,0.09966,-8.50,-1.43,-23.61,-134.81,-22.94,-382.59
0,13,0.10812,-9.51,-1.61,-26.83,-119.49,-21.71,-381.23
0,14,0.11633,-10.49,-1.79,-30.09,-119.96,-22.38,-397.40
0,15,0.12500,-11.46,-1.98,-33.37,-110.92,-20.96,-377.82
0,16,0.13316,-12.40,-2.16,-36.65,-115.51,-22.14,-402.62
0,17,0.14166,-13.28,-2.34,-40.01,-103.41,-21.01,-394.25
0,18,0.14985,-14.13,-2.51,-43.36,-104.01,-21.55,-410.07
0,19,0.15835,-14.98,-2.69,-46.72,-100.18,-20.83,-394.97
0,20,0.16618,-15.76,-2.86,-50.13,-99.71,-22.07,-435.05
0,21,0.17478,-16.59,-2.98,-53.53,-96.18,-13.89,-395.74
0,22,0.18309,-17.56,-3.27,-56.90,-116.80,-34.75,-405.14
0,23,0.19145,-18.53,-3.48,-60.26,-116.06,-25.33,-402.55
0,24,0.19999,-19.47,-3.69,-63.64,-110.46,-24.69,-395.00
0,25,0.20795,-20.42,-3.90,-67.01,-118.50,-26.44,-423.78
0,26,0.21638,-21.38,-4.12,-70.38,-114.03,-25.19,-399.64
0,27,0.22488,-22.46,-4.34,-73.72,-127.00,-25.79,-393.18
0,28,0.23319,-23.54,-4.55,-77.07,-130.03,-26.41,-402.57
0,29,0.24152,-24.62,-4.77,-80.41,-129.67,-26.38,-401.47
0,30,0.25018,-25.80,-5.00,-83.72,-136.04,-26.03,-382.73
0,31,0.25797,-27.00,-5.23,-87.03,-153.97,-29.13,-424.29
0,32,0.26666,-28.20,-5.45,-90.34,-138.02,-26.07,-380.33
0,33,0.27448,-29.51,-5.70,-93.81,-168.36,-31.03,-445.31
0,34,0.28291,-30.97,-5.96,-97.45,-173.03,-30.89,-431.86
0,35,0.29139,-32.60,-6.24,-101.30,-191.73,-33.09,-453.60
0,36,0.30009,-34.26,-6.52,-105.19,-191.06,-32.77,-446.98
0,37,0.30801,-35.92,-6.81,-109.09,-210.02,-36.07,-491.33
0,38,0.31638,-37.61,-7.09,-112.96,-202.01,-34.27,-463.45
0,39,0.32468,-39.30,-7.38,-116.84,-203.86,-34.63,-467.71
0,40,0.33327,-41.05,-7.67,-120.71,-202.66,-33.80,-450.04
0,41,0.34171,-42.83,-7.97,-124.56,-212.13,-34.74,-456.83
0,42,0.34968,-44.62,-8.26,-128.41,-224.31,-36.73,-483.06
0,43,0.35858,-46.44,-8.56,-132.31,-203.94,-33.41,-437.36
0,44,0.36642,-48.28,-8.86,-136.25,-235.02,-38.32,-501.95
0,45,0.37510,-50.13,-9.19,-140.18,-212.49,-39.01,-453.83
0,46,0.38298,-52.00,-9.62,-144.10,-237.75,-53.64,-497.58
0,47,0.39134,-53.93,-9.90,-148.00,-231.39,-33.31,-465.69
0,48,0.40000,-55.90,-10.24,-151.88,-226.96,-40.15,-447.93
0,49,0.40821,-57.86,-10.59,-155.76,-239.41,-42.29,-472.49
0,50,0.41640,-59.75,-10.92,-159.45,-230.54,-40.51,-451.40
0,51,0.42474,-61.65,-11.25,-163.10,-228.21,-39.63,-438.10
0,52,0.43325,-63.56,-11.58,-166.75,-223.30,-38.74,-428.67
0,53,0.44147,-65.46,-11.91,-170.40,-231.38,-40.19,-444.20
0,54,0.45010,-67.39,-12.24,-174.04,-223.52,-38.31,-421.22
0,55,0.45783,-69.28,-12.57,-177.60,-245.36,-42.00,-460.75
0,56,0.46649,-71.23,-12.89,-181.12,-224.49,-37.49,-406.34
0,57,0.47466,-73.20,-13.22,-184.63,-241.50,-39.91,-429.16
0,58,0.48325,-75.20,-13.54,-188.11,-232.68,-37.96,-406.04
0,59,0.49187,-77.20,-13.87,-191.60,-231.65,-37.84,-404.24
0,60,0.49996,-79.27,-14.21,-195.17,-256.60,-41.48,-441.13
0,61,0.50811,-81.49,-14.55,-198.67,-272.66,-41.81,-429.59
0,62,0.51661,-83.72,-14.89,-202.17,-261.40,-40.04,-411.85
0,63,0.52486,-86.03,-15.24,-205.77,-280.59,-42.66,-436.23
0,64,0.53333,-88.47,-15.60,-209.45,-288.19,-43.03,-434.63
0,65,0.54180,-91.02,-15.98,-213.18,-301.35,-44.18,-440.68
0,66,0.55023,-93.75,-16.29,-216.85,-322.90,-37.31,-435.11
0,67,0.55823,-96.59,-16.62,-220.57,-354.96,-40.76,-464.50
0,68,0.56642,-99.45,-16.94,-224.26,-350.09,-39.68,-450.65
0,69,0.57491,-102.38,-17.27,-227.91,-344.96,-38.51,-429.86
0,70,0.58356,-105.42,-17.60,-231.46,-350.97,-38.17,-410.93
0,71,0.59146,-108.47,-17.93,-235.01,-386.10,-41.93,-449.42
0,72,0.59978,-111.48,-18.26,-238.64,-361.50,-39.81,-436.30
0,73,0.60804,-114.60,-18.60,-242.18,-377.82,-40.60,-428.47
0,74,0.61639,-117.72,-18.93,-245.72,-373.33,-40.08,-423.38
0,75,0.62476,-120.83,-19.27,-249.26,-372.99,-40.08,-422.99
0,76,0.63296,-123.98,-19.61,-252.78,-383.63,-41.02,-429.77
0,77,0.64223,-127.27,-19.95,-256.38,-355.23,-37.54,-387.82
0,78,0.64966,-130.46,-20.30,-260.02,-428.75,-46.19,-490.35
0,79,0.65812,-133.69,-20.64,-263.71,-381.97,-41.16,-436.79
0,80,0.66632,-136.84,-20.98,-267.32,-384.37,-41.47,-440.19
0,81,0.67483,-139.91,-21.34,-270.85,-360.90,-41.32,-414.35
0,82,0.68365,-142.70,-21.71,-274.04,-315.64,-42.34,-361.62
0,83,0.69158,-145.46,-22.08,-277.26,-348.41,-47.03,-405.39
0,84,0.70021,-148.22,-22.46,-280.47,-320.07,-43.16,-372.41
0,85,0.70811,-150.85,-22.82,-283.68,-332.82,-45.79,-406.56
0,86,0.71659,-153.47,-23.18,-286.89,-308.55,-42.63,-378.76
0,87,0.72482,-156.09,-23.31,-290.10,-318.00,-16.60,-390.35
0,88,0.73336,-158.69,-23.52,-293.28,-304.64,-24.20,-371.43
0,89,0.74201,-161.26,-23.66,-296.44,-297.00,-15.41,-365.08
0,90,0.74993,-163.83,-23.79,-299.59,-324.47,-16.86,-398.84
0,91,0.75823,-166.40,-23.92,-302.75,-309.56,-16.06,-380.51
0,92,0.76649,-168.94,-24.06,-305.93,-308.03,-16.23,-384.49
0,93,0.77484,-171.63,-24.19,-309.19,-322.12,-16.51,-390.13
0,94,0.78320,-174.40,-24.34,-312.55,-331.39,-17.05,-402.55
1,0,0.00000,0.00,0.00,0.00,24.82,-10.25,2.48
1,1,0.00787,0.34,-0.15,0.06,43.41,-18.56,8.14
1,2,0.01617,1.13,-0.48,0.26,94.85,-40.81,23.90
1,3,0.02505,1.92,-0.82,0.46,88.66,-37.93,21.99
1,4,0.03287,2.70,-1.16,0.65,100.78,-43.54,25.00
1,5,0.04111,4.25,-1.83,1.04,187.41,-80.47,47.41
1,6,0.04987,6.07,-2.61,1.50,208.36,-89.51,52.61
1,7,0.05789,8.53,-3.67,2.13,306.46,-132.04,77.57
1,8,0.06641,11.38,-4.92,2.87,334.05,-147.14,87.46
1,9,0.07465,14.61,-6.39,3.74,391.85,-178.53,105.19
1,10,0.08282,17.83,-7.91,4.61,394.78,-185.81,105.97
1,11,0.09140,21.06,-9.45,5.47,376.51,-179.39,101.07
1,12,0.09949,24.29,-10.99,6.34,399.25,-190.18,107.17
1,13,0.10815,27.54,-12.40,7.28,374.65,-163.03,108.10
1,14,0.11609,30.80,-13.93,8.28,410.77,-192.65,126.92
1,15,0.12463,34.06,-15.46,9.29,381.43,-178.73,117.50
1,16,0.13290,37.32,-16.99,10.31,394.83,-185.25,123.99
1,17,0.14114,40.59,-18.55,11.45,397.04,-188.78,138.52
1,18,0.14966,43.87,-20.10,12.59,384.23,-182.69,134.05
1,19,0.15796,47.14,-21.65,13.74,394.12,-187.14,137.50
1,20,0.16623,50.41,-23.22,14.96,395.57,-189.71,148.34
1,21,0.17465,53.69,-24.79,16.17,389.86,-186.64,143.84
1,22,0.18307,57.04,-26.37,17.22,397.10,-186.41,124.28
1,23,0.19113,60.38,-27.94,18.27,415.15,-194.88,129.92
1,24,0.20020,63.73,-29.51,19.31,369.02,-173.31,115.15
1,25,0.20789,67.07,-31.07,20.36,434.92,-203.94,135.71
1,26,0.21646,70.42,-32.64,21.38,390.75,-182.85,119.57
1,27,0.22479,73.81,-34.22,22.32,406.59,-188.79,112.82
1,28,0.23291,77.20,-35.79,23.26,417.29,-193.50,115.79
1,29,0.24115,80.58,-37.35,24.20,411.11,-190.33,114.07
1,30,0.24951,84.00,-38.92,25.04,408.76,-187.63,100.00
1,31,0.25790,87.43,-39.95,25.85,408.00,-122.45,97.09
1,32,0.26620,90.85,-39.91,26.66,412.50,5.09,97.79
1,33,0.27472,94.48,-39.86,27.47,426.52,5.13,95.34
1,34,0.28287,98.32,-39.82,28.29,471.16,5.58,99.63
1,35,0.29147,102.43,-39.77,29.07,477.30,5.46,91.13
1,36,0.29980,106.59,-39.73,29.85,498.90,5.66,93.41
1,37,0.30820,110.74,-39.68,30.63,495.27,5.64,92.73
1,38,0.31641,114.90,-39.63,31.40,506.32,5.74,94.42
1,39,0.32495,119.06,-39.58,32.18,486.43,5.54,90.71
1,40,0.33292,123.24,-39.54,32.87,525.67,5.76,87.36
1,41,0.34122,127.44,-39.49,33.55,505.15,5.49,81.62
1,42,0.34964,131.63,-39.26,34.23,498.55,26.97,80.43
1,43,0.35809,135.88,-38.55,34.91,502.17,84.87,80.14
1,44,0.36646,140.17,-37.82,35.58,513.50,86.68,81.02
1,45,0.37479,144.47,-37.10,36.26,515.38,87.03,81.32
1,46,0.38309,148.76,-36.37,36.94,517.28,87.35,81.62
1,47,0.39133,153.05,-35.66,37.62,521.11,85.92,82.22
1,48,0.39975,157.36,-34.98,38.30,511.59,80.97,80.80
1,49,0.40793,161.66,-34.32,38.97,525.00,80.43,82.84
1,50,0.41629,165.76,-33.72,39.61,490.88,72.71,76.28
1,51,0.42487,169.83,-33.13,40.24,474.02,68.15,73.31
1,52,0.43298,173.89,-32.57,40.87,500.75,69.67,77.44
1,53,0.44128,177.96,-32.02,41.50,489.71,66.01,75.74
1,54,0.44995,182.02,-31.47,42.13,469.01,62.83,72.54
1,55,0.45807,186.01,-30.94,42.74,491.35,66.03,75.19
1,56,0.46646,189.99,-30.34,43.34,473.82,71.07,72.36
1,57,0.47476,193.97,-29.06,43.95,479.41,154.70,73.16
1,58,0.48334,197.94,-27.63,44.56,463.70,166.70,70.82
1,59,0.49118,201.92,-26.20,45.17,507.00,182.41,77.43
1,60,0.49973,206.08,-24.70,45.81,486.79,174.82,75.36
1,61,0.50833,210.18,-23.23,46.44,476.24,171.07,73.76
1,62,0.51651,214.28,-21.71,47.08,501.12,185.77,77.61
1,63,0.52518,218.51,-20.20,47.74,488.73,174.22,76.76
1,64,0.53317,222.87,-18.64,48.43,545.04,194.77,86.26
1,65,0.54147,227.34,-17.05,49.15,538.97,192.54,86.03
1,66,0.54971,231.86,-15.42,49.87,547.78,197.62,87.78
1,67,0.55859,236.47,-13.75,50.62,519.59,188.36,84.19
1,68,0.56641,241.09,-12.07,51.37,590.62,214.12,95.70
1,69,0.57480,245.70,-10.40,52.11,549.82,199.34,89.09
1,70,0.58334,250.31,-8.73,52.86,540.00,195.77,87.50
1,71,0.59158,254.93,-7.05,53.64,560.74,203.18,94.07
1,72,0.59979,259.56,-5.38,54.53,563.94,204.00,108.92
1,73,0.60825,264.19,-3.71,55.43,547.65,197.91,105.78
1,74,0.61649,268.82,-2.10,56.32,561.85,194.20,108.52
1,75,0.62476,273.45,-0.83,57.21,559.78,154.04,108.12
1,76,0.63351,278.09,0.28,58.12,529.62,126.36,103.48
1,77,0.64154,282.76,0.99,59.08,581.75,88.88,119.39
1,78,0.65021,287.50,1.81,60.05,547.18,94.20,112.32
1,79,0.65823,292.31,2.54,61.04,598.86,92.01,123.19
1,80,0.66663,297.00,3.35,62.01,559.27,96.53,115.64
1,81,0.67487,301.58,4.14,62.96,555.19,95.78,115.56
1,82,0.68323,305.72,4.86,63.85,495.62,85.83,106.20
1,83,0.69171,309.99,5.60,64.77,503.24,87.18,107.91
1,84,0.70004,314.14,6.32,65.66,497.44,86.15,106.59
1,85,0.70847,318.18,7.02,66.59,480.07,83.88,111.23
1,86,0.71664,322.21,7.73,67.54,492.91,86.17,115.30
1,87,0.72565,326.24,8.43,68.48,447.46,78.33,104.75
1,88,0.73343,330.23,9.13,69.43,512.55,89.95,122.75
1,89,0.74173,334.18,9.83,70.39,476.47,83.67,115.81
1,90,0.75000,338.14,10.52,71.36,478.23,83.94,116.24
1,91,0.75858,342.09,11.22,72.32,461.21,81.04,112.10
1,92,0.76678,346.05,11.91,73.28,481.78,84.66,117.10
1,93,0.77502,350.17,12.63,74.25,500.00,87.48,117.78
1,94,0.78336,354.42,13.38,75.22,510.26,89.13,116.85
2,0,0.00000,0.00,0.00,0.00,15.14,2.26,-23.51
2,1,0.00839,0.22,0.03,-0.27,25.82,3.09,-32.73
2,2,0.01660,0.78,0.08,-0.86,68.40,6.71,-71.00
2,3,0.02509,1.37,0.13,-1.41,70.14,6.17,-64.75
2,4,0.03348,2.00,0.18,-1.92,74.91,5.82,-61.09
2,5,0.04175,3.27,0.28,-2.90,152.77,11.22,-118.08
2,6,0.05023,4.78,0.38,-4.03,178.06,12.71,-133.09
2,7,0.05853,6.83,0.52,-5.51,247.79,17.06,-179.41
2,8,0.06671,9.25,0.68,-7.19,295.90,19.54,-205.22
2,9,0.07510,12.02,0.86,-9.07,329.82,21.26,-223.27
2,10,0.08340,14.79,1.04,-10.93,333.82,21.44,-224.63
2,11,0.09241,17.57,1.22,-12.79,308.47,19.69,-206.78
2,12,0.10007,20.42,1.40,-14.68,371.71,23.51,-246.22
2,13,0.10840,23.28,1.57,-16.46,344.32,20.39,-213.92
2,14,0.11676,26.25,1.73,-18.15,354.01,19.36,-202.55
2,15,0.12524,29.25,1.88,-19.77,354.32,18.24,-190.65
2,16,0.13345,32.33,2.03,-21.26,375.46,17.26,-180.67
2,17,0.14178,35.54,2.15,-22.57,384.62,15.18,-157.88
2,18,0.15085,38.79,2.27,-23.76,358.92,12.61,-131.31
2,19,0.15854,42.11,2.36,-24.76,431.75,12.46,-129.37
2,20,0.16672,45.54,2.43,-25.48,418.66,8.59,-88.06
2,21,0.17523,49.00,2.49,-26.02,406.45,6.21,-63.44
2,22,0.18359,52.46,2.54,-26.51,414.60,5.88,-59.49
2,23,0.19180,55.95,2.57,-26.80,425.28,3.64,-35.32
2,24,0.20010,59.46,2.57,-26.88,422.06,1.15,-9.56
2,25,0.20862,62.96,2.56,-26.75,411.11,-1.22,15.41
2,26,0.21674,66.45,2.54,-26.43,430.08,-3.44,39.47
2,27,0.22519,69.94,2.50,-25.99,412.64,-4.67,52.35
2,28,0.23346,73.39,2.44,-25.34,417.71,-7.12,78.60
2,29,0.24188,76.80,2.36,-24.48,404.71,-9.34,101.45
2,30,0.25082,80.18,2.27,-23.53,378.50,-9.87,106.83
2,31,0.25858,83.51,2.17,-22.39,429.13,-13.58,146.85
2,32,0.26685,86.76,2.04,-21.05,393.36,-15.05,161.62
2,33,0.27527,90.15,1.89,-19.48,401.45,-17.36,186.96
2,34,0.28375,93.62,1.72,-17.65,408.99,-20.10,215.47
2,35,0.29190,97.24,1.53,-15.55,444.57,-23.99,257.30
2,36,0.30029,100.77,1.31,-13.23,421.09,-25.90,277.09
2,37,0.30859,104.16,1.07,-10.70,408.09,-28.56,305.15
