trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,85.71,0.70,5.48
0,1,0.00813,0.67,0.00,0.02,82.18,0.10,2.25
0,2,0.01654,1.29,-0.04,-0.23,74.05,-5.16,-29.04
0,3,0.02473,1.90,-0.09,-0.49,74.86,-5.95,-32.77
0,4,0.03303,2.38,-0.17,-0.96,57.04,-9.94,-56.30
0,5,0.04134,2.83,-0.26,-1.44,54.68,-10.28,-57.98
0,6,0.04976,3.27,-0.37,-2.08,52.58,-13.25,-75.07
0,7,0.05828,3.69,-0.49,-2.73,49.06,-13.41,-76.28
0,8,0.06644,4.34,-0.61,-3.45,79.33,-15.78,-89.43
0,9,0.07468,4.96,-0.75,-4.21,75.19,-16.14,-91.48
0,10,0.08314,5.81,-0.90,-5.06,100.63,-17.82,-100.99
0,11,0.09124,6.63,-1.05,-5.95,101.32,-19.27,-109.23
0,12,0.09977,7.73,-1.25,-7.04,128.80,-22.62,-127.73
0,13,0.10818,8.79,-1.45,-8.17,125.95,-23.72,-134.30
0,14,0.11668,10.07,-1.69,-9.53,151.17,-28.35,-160.50
0,15,0.12465,11.31,-1.94,-10.94,154.64,-31.25,-176.84
0,16,0.13332,12.76,-2.25,-12.70,167.81,-35.82,-202.99
0,17,0.14133,14.15,-2.57,-14.51,173.71,-39.85,-226.29
0,18,0.14967,15.65,-2.94,-16.65,179.85,-45.23,-256.78
0,19,0.15811,17.07,-3.33,-18.85,167.66,-45.68,-259.80
0,20,0.16656,18.45,-3.74,-21.19,163.69,-48.64,-277.15
0,21,0.17469,19.74,-4.16,-23.58,159.10,-51.65,-294.18
0,22,0.18298,20.98,-4.62,-26.22,149.54,-55.95,-318.97
0,23,0.19128,22.13,-5.09,-28.91,137.50,-56.78,-323.90
0,24,0.19977,23.09,-5.63,-31.99,113.57,-63.31,-361.90
0,25,0.20839,23.94,-6.18,-35.09,98.41,-63.00,-360.35
0,26,0.21659,24.48,-6.85,-38.94,66.60,-81.95,-469.58
0,27,0.22520,24.88,-7.52,-42.81,46.41,-78.31,-449.25
0,28,0.23294,25.03,-8.08,-46.00,18.93,-71.70,-411.83
0,29,0.24170,25.06,-8.63,-49.19,3.14,-63.37,-364.11
0,30,0.24983,24.97,-9.19,-52.38,-11.26,-68.24,-392.12
0,31,0.25811,24.76,-9.74,-55.56,-25.44,-66.80,-384.52
0,32,0.26648,24.49,-10.30,-58.78,-31.72,-66.89,-384.69
0,33,0.27470,24.11,-10.86,-61.99,-46.75,-67.69,-389.98
0,34,0.28311,23.57,-11.44,-65.33,-63.52,-69.10,-397.82
0,35,0.29154,22.91,-12.01,-68.65,-78.19,-68.36,-393.85
0,36,0.29995,22.13,-12.58,-71.95,-92.92,-67.91,-392.01
0,37,0.30803,21.23,-13.15,-75.21,-111.80,-69.99,-403.78
0,38,0.31650,20.12,-13.72,-78.49,-130.45,-66.92,-386.67
0,39,0.32477,18.90,-14.19,-81.72,-148.34,-57.37,-390.77
0,40,0.33356,17.55,-14.85,-84.90,-152.99,-74.53,-361.84
0,41,0.34124,16.20,-15.41,-88.08,-175.35,-74.02,-414.71
0,42,0.35020,14.83,-15.98,-91.26,-152.98,-63.17,-354.34
0,43,0.35810,13.49,-16.55,-94.44,-170.27,-71.87,-402.70
0,44,0.36671,12.03,-17.13,-97.69,-169.15,-67.29,-377.30
0,45,0.37482,10.55,-17.71,-100.92,-182.50,-71.31,-399.25
0,46,0.38305,9.00,-18.30,-104.24,-188.69,-71.99,-402.97
0,47,0.39134,7.45,-18.89,-107.56,-187.30,-71.38,-400.00
0,48,0.39977,5.86,-19.32,-111.01,-187.87,-50.49,-409.77
0,49,0.40844,4.28,-19.76,-114.47,-182.75,-50.81,-398.59
0,50,0.41656,2.60,-20.23,-118.12,-207.14,-57.70,-450.00
0,51,0.42482,0.92,-20.69,-121.77,-203.51,-56.50,-442.11
0,52,0.43306,-0.80,-21.17,-125.56,-207.78,-58.10,-459.26
0,53,0.44197,-2.51,-21.65,-129.34,-192.12,-53.81,-424.66
0,54,0.44987,-4.15,-22.12,-133.24,-207.72,-59.83,-493.05
0,55,0.45828,-5.79,-22.60,-137.14,-195.28,-56.15,-463.52
0,56,0.46651,-7.30,-23.05,-141.13,-183.30,-55.45,-484.97
0,57,0.47498,-8.78,-23.50,-145.12,-174.62,-53.23,-471.65
0,58,0.48332,-10.14,-23.94,-149.25,-163.59,-52.66,-494.78
0,59,0.49156,-11.54,-24.38,-153.36,-169.26,-53.83,-499.26
0,60,0.49978,-12.93,-24.83,-157.48,-169.73,-53.89,-500.65
0,61,0.50828,-14.34,-25.28,-161.63,-165.53,-52.69,-489.05
0,62,0.51659,-15.64,-25.70,-165.73,-155.96,-51.22,-492.11
