trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-118.98,204.14,489.05
0,1,0.00836,-0.83,1.91,3.41,-99.27,228.45,408.03
0,2,0.01675,-1.66,5.77,6.83,-99.27,460.07,407.64
0,3,0.02570,-2.50,10.00,10.25,-93.17,472.72,382.59
0,4,0.03409,-3.33,15.69,13.68,-99.64,677.99,408.36
0,5,0.04184,-4.17,21.64,17.12,-107.87,767.72,443.31
0,6,0.05020,-5.00,28.55,20.55,-100.00,826.28,410.22
0,7,0.05850,-5.84,35.58,23.97,-100.74,847.23,412.87
0,8,0.06744,-6.67,43.10,27.40,-93.17,840.88,382.59
0,9,0.07520,-7.51,50.62,30.82,-107.48,969.99,441.34
0,10,0.08359,-8.34,58.14,34.24,-99.27,895.92,407.64
0,11,0.09192,-9.17,65.53,37.66,-100.00,887.66,410.26
0,12,0.10031,-10.00,72.44,41.06,-98.91,823.28,405.45
0,13,0.10870,-10.83,79.10,44.46,-98.55,793.84,405.09
0,14,0.11707,-11.65,84.79,47.84,-98.54,680.47,404.74
0,15,0.12592,-12.48,90.11,51.22,-93.10,601.05,381.72
0,16,0.13446,-13.32,94.07,54.66,-98.21,463.27,402.86
0,17,0.14209,-14.17,97.43,58.15,-111.20,440.50,456.40
0,18,0.15060,-14.98,98.86,61.47,-95.34,167.07,391.04
0,19,0.15894,-15.79,99.90,64.82,-97.80,125.17,401.10
0,20,0.16736,-16.62,99.90,68.20,-97.83,0.00,401.45
0,21,0.17621,-17.44,99.90,71.58,-93.10,0.00,382.07
0,22,0.18469,-18.26,99.90,74.96,-97.12,0.00,398.56
0,23,0.19235,-19.09,99.90,78.36,-107.97,0.00,443.82
0,24,0.20090,-19.92,99.90,81.74,-96.43,0.00,395.71
0,25,0.20911,-20.74,99.90,85.13,-100.37,0.00,412.64
0,26,0.21823,-21.57,99.90,88.53,-90.97,0.00,372.91
0,27,0.22650,-22.41,99.90,92.00,-101.85,0.00,418.82
0,28,0.23495,-23.24,99.90,95.40,-98.19,0.00,402.53
0,29,0.24265,-24.08,99.90,98.83,-108.73,0.00,446.03
0,30,0.25110,-24.91,99.90,102.23,-98.19,0.00,402.53
0,31,0.25940,-25.73,99.90,105.60,-98.90,0.00,405.88
0,32,0.26843,-26.53,99.90,108.89,-88.85,0.00,364.19
0,33,0.27609,-27.35,99.90,112.25,-107.17,0.00,439.04
0,34,0.28452,-28.16,99.90,115.54,-95.29,0.00,390.58
0,35,0.29291,-28.95,99.90,118.79,-94.18,0.00,387.27
0,36,0.30133,-29.53,99.90,122.00,-68.84,0.00,380.80
0,37,0.30957,-29.91,99.90,125.20,-46.30,0.00,388.52
0,38,0.31854,-30.09,99.90,128.34,-20.75,0.00,350.00
0,39,0.32626,-30.08,99.90,131.52,1.19,0.00,411.07
0,40,0.33536,-30.03,100.39,134.34,6.04,54.01,310.40
0,41,0.34299,-29.97,101.38,136.96,8.00,129.78,343.20
0,42,0.35156,-29.75,102.26,139.51,25.98,103.06,297.51
0,43,0.35974,-29.35,103.09,141.96,48.88,101.51,299.25
0,44,0.36871,-28.78,103.86,144.20,63.61,85.59,249.66
0,45,0.37692,-28.05,104.61,146.30,88.85,91.25,256.13
0,46,0.38489,-27.23,105.29,148.10,101.92,85.87,226.44
0,47,0.39313,-26.37,105.96,149.78,104.81,80.42,204.07
0,48,0.40167,-25.47,106.58,151.27,105.36,73.13,173.93
0,49,0.40982,-24.55,107.19,152.65,113.11,74.97,169.66
0,50,0.41849,-23.62,107.77,153.89,107.04,67.04,142.96
0,51,0.42661,-22.67,108.36,155.10,117.67,72.22,149.25
