trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,709.29,-1.93,177.50
0,1,0.00803,5.88,-0.01,2.11,732.32,-1.41,263.50
0,2,0.01654,11.24,-0.02,4.16,629.39,-1.11,240.50
0,3,0.02484,16.37,-0.03,6.74,618.01,-0.57,309.93
0,4,0.03345,22.28,-0.03,10.39,686.88,-0.06,425.18
0,5,0.04150,27.80,-0.02,14.62,684.85,0.66,525.00
0,6,0.05002,34.29,-0.02,19.10,762.37,0.32,526.16
0,7,0.05820,40.80,-0.02,23.55,796.27,0.30,544.03
0,8,0.06689,48.28,-0.01,28.50,860.35,0.18,568.42
0,9,0.07510,55.77,-0.01,33.43,912.27,0.18,601.12
0,10,0.08337,59.49,-0.01,36.54,449.45,0.66,375.65
0,11,0.09177,63.20,-0.00,39.65,442.91,0.65,370.55
0,12,0.09949,66.85,0.01,43.08,472.73,1.05,445.06
0,13,0.10825,70.50,0.01,46.52,416.38,0.93,392.33
0,14,0.11670,74.17,0.02,49.94,433.57,0.93,404.33
0,15,0.12485,77.84,0.03,53.35,450.94,0.96,418.35
0,16,0.13321,81.34,0.04,56.57,418.25,0.86,385.04
0,17,0.14148,84.84,0.04,59.78,423.25,0.87,388.56
0,18,0.14972,88.27,0.05,62.72,415.93,0.67,356.67
0,19,0.15842,91.73,0.06,65.61,398.60,0.58,332.63
0,20,0.16653,95.02,0.06,68.19,405.26,0.44,317.29
0,21,0.17508,98.31,0.06,70.73,384.29,0.40,297.86
0,22,0.18311,101.61,0.07,73.25,411.79,0.39,313.69
0,23,0.19144,104.93,0.07,75.75,398.53,0.34,300.00
0,24,0.19995,108.25,0.07,78.25,389.96,0.34,293.55
0,25,0.20804,111.61,0.07,80.70,414.72,0.30,303.40
0,26,0.21671,114.90,0.08,83.11,380.28,0.26,277.11
0,27,0.22498,118.22,0.08,85.49,400.74,0.25,287.82
0,28,0.23328,121.57,-0.44,87.83,404.04,-62.75,282.35
0,29,0.24142,124.94,-1.23,90.13,413.48,-96.21,282.40
0,30,0.24997,128.34,-2.33,92.39,397.50,-129.10,263.93
0,31,0.25842,131.75,-3.47,94.61,403.97,-135.28,262.82
0,32,0.26663,134.82,-4.48,96.48,373.98,-122.56,228.62
0,33,0.27512,137.88,-5.48,98.36,361.15,-118.40,221.58
0,34,0.28339,140.71,-6.41,100.08,342.07,-112.01,207.75
0,35,0.29141,143.52,-7.34,101.83,350.19,-115.42,218.25
0,36,0.30002,146.46,-8.32,103.76,341.13,-114.55,223.76
0,37,0.30832,149.40,-9.18,105.69,354.04,-103.30,231.99
0,38,0.31659,152.54,-10.11,107.75,379.34,-112.24,249.45
0,39,0.32507,155.69,-11.03,109.80,371.22,-108.16,241.73
0,40,0.33340,159.33,-12.06,112.00,437.73,-124.21,264.47
0,41,0.34164,162.99,-13.10,114.20,443.70,-125.54,266.67
0,42,0.34970,167.10,-14.21,116.36,510.23,-138.41,268.56
0,43,0.35822,171.22,-15.33,118.52,483.87,-130.89,252.69
0,44,0.36661,175.56,-16.55,121.07,517.09,-145.50,304.73
0,45,0.37573,180.14,-17.83,123.78,502.01,-141.18,296.32
0,46,0.38394,184.03,-19.03,126.69,474.35,-145.54,355.39
0,47,0.39197,187.82,-20.19,129.53,471.86,-145.04,353.99
0,48,0.40024,190.09,-20.91,131.37,274.54,-86.66,221.40
0,49,0.40884,192.37,-21.63,133.19,264.54,-83.48,212.06
0,50,0.41675,194.65,-21.62,135.01,288.42,1.55,230.50
0,51,0.42554,196.93,-21.70,136.81,259.38,-9.28,204.17
0,52,0.43381,199.18,-21.68,138.31,271.96,2.14,181.18
0,53,0.44196,201.43,-21.66,139.80,277.15,2.20,183.15
0,54,0.45062,203.80,-21.64,141.17,272.89,2.33,158.45
0,55,0.45865,206.20,-21.62,142.57,298.86,2.55,174.52
0,56,0.46677,209.02,-21.60,144.36,348.12,2.83,219.92
0,57,0.47543,211.86,-21.58,146.16,326.76,2.65,207.75
0,58,0.48395,214.42,-21.56,147.94,300.72,2.29,208.96
0,59,0.49210,216.98,-21.54,149.72,314.23,2.39,218.35
0,60,0.50015,219.54,-21.52,151.49,317.80,2.42,220.45
