trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-295.94,-536.35,83.76
0,1,0.00916,-3.69,-3.22,0.53,-402.67,-352.11,58.33
0,2,0.01721,-7.34,-6.76,0.96,-453.79,-439.16,53.41
0,3,0.02499,-10.94,-10.33,1.43,-462.75,-459.12,59.22
0,4,0.03323,-14.56,-14.29,1.90,-438.89,-479.63,58.15
0,5,0.04169,-17.84,-18.82,2.44,-388.45,-536.26,63.90
0,6,0.04999,-20.65,-23.86,3.05,-338.24,-606.76,73.16
0,7,0.05896,-22.86,-29.28,3.72,-246.60,-604.51,74.83
0,8,0.06720,-24.73,-34.87,4.43,-227.04,-678.71,85.93
0,9,0.07516,-26.61,-40.52,5.14,-234.87,-709.24,88.89
0,10,0.08340,-28.48,-46.23,5.85,-227.04,-692.49,85.93
0,11,0.09180,-30.35,-51.99,6.56,-222.91,-686.66,84.36
0,12,0.10059,-32.22,-57.81,7.26,-212.85,-662.12,80.56
0,13,0.10916,-34.09,-63.69,7.97,-218.15,-685.23,82.56
0,14,0.11743,-35.96,-69.62,8.68,-226.20,-717.38,85.61
0,15,0.12534,-37.83,-75.61,9.39,-236.68,-757.80,89.58
0,16,0.13339,-39.66,-80.75,10.13,-227.65,-638.27,92.42
1,0,0.00000,0.00,0.00,0.00,-267.88,-374.49,266.42
1,1,0.00836,-2.82,-2.66,2.56,-337.23,-318.46,306.57
1,2,0.01697,-5.67,-5.82,5.14,-330.85,-366.96,299.65
1,3,0.02563,-8.40,-9.57,7.65,-314.79,-432.64,289.79
1,4,0.03333,-10.87,-13.90,10.02,-322.22,-563.34,307.54
1,5,0.04181,-12.98,-18.76,12.18,-248.56,-572.35,254.68
1,6,0.04993,-14.62,-24.04,14.07,-201.88,-650.01,232.33
1,7,0.05835,-15.79,-29.57,15.69,-139.13,-657.22,192.39
1,8,0.06659,-16.96,-35.16,17.31,-142.22,-678.71,196.67
1,9,0.07562,-18.14,-40.81,18.93,-129.73,-625.38,179.39
1,10,0.08325,-19.31,-46.52,20.55,-153.60,-747.89,212.40
1,11,0.09167,-20.48,-52.28,22.17,-139.13,-684.17,192.39
1,12,0.09998,-21.65,-58.10,23.79,-141.18,-701.07,195.22
1,13,0.10840,-22.82,-63.98,25.41,-139.13,-697.65,192.39
1,14,0.11670,-24.00,-69.91,27.03,-141.18,-714.74,195.22
1,15,0.12555,-25.12,-74.67,28.70,-126.90,-538.41,188.28
2,0,0.00000,0.00,0.00,0.00,289.63,-501.88,-133.33
2,1,0.00836,3.18,-3.05,-1.99,380.66,-364.17,-238.32
2,2,0.01669,6.39,-6.61,-3.85,384.62,-427.90,-223.44
2,3,0.02515,9.48,-10.74,-5.47,366.06,-489.10,-191.34
2,4,0.03320,12.34,-15.41,-6.78,354.55,-579.05,-162.50
2,5,0.04150,14.84,-20.52,-7.72,301.10,-616.21,-113.60
2,6,0.04974,16.87,-25.97,-8.28,246.67,-660.80,-67.04
2,7,0.05829,18.81,-31.51,-8.76,227.14,-647.83,-56.07
2,8,0.06686,20.75,-37.10,-9.23,226.33,-652.14,-55.87
2,9,0.07513,22.69,-42.75,-9.71,234.69,-683.07,-57.93
2,10,0.08365,24.65,-48.50,-10.20,230.11,-675.88,-56.63
2,11,0.09161,26.59,-54.26,-10.68,243.68,-723.55,-60.15
2,12,0.10001,28.53,-60.08,-11.15,231.27,-693.48,-57.09
2,13,0.10855,30.47,-65.96,-11.63,227.14,-687.74,-56.07
2,14,0.11710,32.48,-70.33,-12.04,234.64,-511.48,-47.14
3,0,0.00000,0.00,0.00,0.00,-258.61,-558.11,83.88
3,1,0.00821,-3.78,-2.37,0.70,-460.97,-289.06,85.50
3,2,0.01678,-7.61,-5.25,1.35,-446.26,-335.96,75.80
3,3,0.02496,-11.37,-8.69,1.96,-459.33,-420.69,73.88
3,4,0.03323,-14.94,-12.70,2.54,-432.47,-484.82,70.11
3,5,0.04156,-18.20,-17.26,3.11,-390.48,-547.18,68.86
3,6,0.05002,-21.01,-22.30,3.70,-332.49,-595.80,70.40
3,7,0.05826,-23.28,-27.77,4.35,-275.56,-663.60,78.89
3,8,0.06711,-25.16,-33.36,5.04,-212.41,-631.97,77.24
3,9,0.07510,-27.04,-39.01,5.72,-235.11,-706.61,85.50
3,10,0.08356,-28.92,-44.72,6.41,-222.38,-675.06,80.87
3,11,0.09171,-30.80,-50.48,7.09,-230.71,-707.30,83.90
3,12,0.10049,-32.68,-56.30,7.77,-213.89,-662.19,77.78
3,13,0.10837,-34.56,-62.18,8.46,-238.76,-747.02,87.21
3,14,0.11667,-36.44,-68.12,9.14,-226.47,-714.82,82.35
3,15,0.12521,-38.32,-74.11,9.83,-220.00,-701.04,80.00
3,16,0.13354,-40.17,-79.50,10.53,-222.34,-647.58,84.98
