trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-482.30,2.65,-385.19
0,1,0.00912,-3.70,0.00,-2.69,-405.69,0.21,-294.98
0,2,0.01718,-7.32,-0.01,-5.12,-448.86,-1.58,-301.52
0,3,0.02570,-11.04,-0.04,-7.39,-437.28,-3.38,-265.95
0,4,0.03461,-14.71,-0.08,-9.47,-411.30,-4.40,-233.90
0,5,0.04245,-18.61,-0.14,-11.45,-497.67,-7.37,-252.92
0,6,0.05154,-22.45,-0.21,-13.19,-422.15,-7.91,-191.28
0,7,0.05917,-26.51,-0.30,-14.82,-532.40,-11.97,-212.80
0,8,0.06747,-30.72,-0.40,-16.36,-507.35,-12.55,-186.03
0,9,0.07574,-34.99,-0.78,-17.73,-516.24,-46.01,-166.05
0,10,0.08438,-39.25,-1.59,-19.16,-493.29,-93.34,-164.66
0,11,0.09335,-43.56,-2.87,-20.38,-480.27,-142.43,-136.39
0,12,0.10095,-47.81,-4.60,-21.34,-559.84,-228.00,-126.10
0,13,0.10922,-51.96,-6.46,-22.08,-501.48,-224.57,-89.30
0,14,0.11771,-55.02,-7.82,-22.44,-360.79,-160.98,-42.81
0,15,0.12585,-58.10,-9.19,-22.67,-377.53,-167.84,-27.72
0,16,0.13452,-61.18,-10.56,-22.75,-355.63,-157.62,-9.86
0,17,0.14328,-64.26,-11.91,-22.69,-351.22,-154.94,6.62
0,18,0.15170,-67.25,-13.23,-22.45,-354.71,-155.93,28.62
0,19,0.15927,-70.23,-14.53,-22.07,-393.95,-172.58,50.00
0,20,0.16782,-73.18,-15.83,-21.56,-345.71,-151.08,59.64
0,21,0.17587,-76.11,-17.10,-20.92,-363.26,-157.82,79.92
0,22,0.18445,-79.00,-18.35,-20.14,-337.72,-146.38,90.39
0,23,0.19260,-81.86,-19.59,-19.23,-350.94,-151.67,111.99
0,24,0.20123,-84.70,-20.81,-18.10,-328.62,-140.98,130.74
0,25,0.21027,-87.50,-22.00,-16.85,-309.80,-132.54,138.51
0,26,0.21799,-90.48,-23.27,-15.37,-386.17,-164.50,192.09
1,0,0.00000,0.00,0.00,0.00,-501.09,-21.60,210.14
1,1,0.00818,-4.14,-0.15,1.96,-505.97,-18.28,239.55
1,2,0.01672,-8.07,-0.29,3.83,-460.71,-16.53,218.57
