trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,21.61,-1.98,-10.62
0,1,0.00833,0.09,-0.00,-0.10,11.36,-0.52,-11.72
0,2,0.01669,0.19,-0.01,-0.20,11.31,-0.33,-11.68
0,3,0.02499,0.28,-0.01,-0.29,11.40,-0.52,-11.76
0,4,0.03342,0.38,-0.02,-0.39,11.23,-0.52,-11.59
0,5,0.04163,0.47,-0.02,-0.49,11.52,-0.33,-11.90
0,6,0.05008,0.57,-0.02,-0.59,11.19,-0.51,-11.55
0,7,0.05835,0.66,-0.03,-0.68,11.44,-0.52,-11.81
0,8,0.06671,0.76,-0.03,-0.78,11.31,-0.33,-11.68
0,9,0.07504,0.85,-0.03,-0.88,11.36,-0.52,-11.72
0,10,0.08344,0.93,-0.03,-0.97,9.45,0.06,-11.27
0,11,0.09171,0.97,-0.03,-1.07,5.17,0.93,-11.07
0,12,0.10007,1.02,-0.02,-1.16,5.11,0.92,-10.95
0,13,0.10843,1.06,-0.01,-1.25,5.11,1.11,-10.95
0,14,0.11679,1.10,-0.00,-1.34,5.11,0.92,-10.95
0,15,0.12503,1.14,0.01,-1.43,5.19,0.93,-11.11
0,16,0.13345,1.19,0.02,-1.52,5.07,1.10,-10.87
0,17,0.14172,1.23,0.02,-1.61,5.17,0.93,-11.07
0,18,0.15018,1.27,0.03,-1.71,5.05,0.91,-10.83
0,19,0.15845,1.32,0.04,-1.80,5.17,1.13,-11.07
0,20,0.16681,1.34,0.05,-1.88,2.55,1.42,-10.22
0,21,0.17502,1.32,0.07,-1.96,-2.23,2.65,-9.29
0,22,0.18344,1.30,0.09,-2.04,-2.17,2.20,-9.06
0,23,0.19174,1.28,0.11,-2.11,-2.21,2.62,-9.19
0,24,0.20016,1.26,0.13,-2.19,-2.17,2.39,-9.06
0,25,0.20847,1.25,0.16,-2.26,-2.21,2.62,-9.19
0,26,0.21683,1.23,0.18,-2.34,-2.19,2.41,-9.12
