trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-22.00,-0.28,70.00
0,1,0.00836,-0.19,-0.00,0.53,-22.26,-0.15,63.14
0,2,0.01666,-0.42,-0.01,1.40,-28.31,-0.60,105.15
0,3,0.02504,-0.69,-0.01,2.26,-32.06,-0.40,103.10
0,4,0.03337,-0.90,-0.02,3.48,-25.27,-1.49,145.79
0,5,0.04182,-1.16,-0.03,4.68,-30.32,-1.18,142.60
0,6,0.05064,-1.37,-0.05,6.21,-23.88,-2.00,173.01
0,7,0.05840,-1.64,-0.06,7.73,-34.65,-1.96,195.67
0,8,0.06667,-1.55,-0.10,9.25,10.33,-3.73,183.76
0,9,0.07507,-1.52,-0.12,10.77,3.27,-3.36,180.76
0,10,0.08336,-1.07,-0.17,12.41,54.51,-5.96,197.79
0,11,0.09235,-0.68,-0.22,14.06,43.12,-5.21,184.04
0,12,0.10007,-0.11,-0.27,15.72,73.91,-7.10,215.42
0,13,0.10847,0.39,-0.33,17.41,60.25,-6.27,200.36
0,14,0.11676,1.06,-0.39,19.04,80.29,-7.10,196.69
0,15,0.12517,1.66,-0.44,20.69,71.87,-6.70,196.73
0,16,0.13342,2.21,-0.50,22.37,65.80,-6.54,202.96
0,17,0.14191,2.69,-0.55,24.06,56.47,-6.09,199.64
0,18,0.15067,3.29,-0.61,25.86,68.64,-6.72,205.57
0,19,0.15849,3.82,-0.66,27.68,68.23,-7.20,232.75
0,20,0.16672,4.56,-0.73,29.59,89.42,-8.14,232.28
0,21,0.17516,5.22,-0.79,31.53,78.48,-7.56,229.29
0,22,0.18343,6.13,-0.87,33.70,109.96,-9.58,262.36
0,23,0.19176,6.95,-0.95,35.90,98.90,-9.15,264.47
0,24,0.20015,8.00,-1.08,38.39,124.73,-16.02,296.00
0,25,0.20845,8.95,-1.11,40.91,114.71,-2.75,303.68
0,26,0.21675,10.15,-1.20,43.72,144.49,-11.44,338.60
0,27,0.22519,11.24,-1.29,46.57,129.48,-10.78,338.52
0,28,0.23344,12.21,-1.38,49.71,117.56,-11.00,380.41
0,29,0.24191,13.06,-1.47,52.89,100.18,-10.22,375.14
0,30,0.25075,13.62,-1.55,56.33,62.87,-8.88,389.29
0,31,0.25853,14.04,-1.62,59.79,54.90,-9.51,444.31
0,32,0.26683,14.18,-1.68,63.19,16.91,-7.34,409.93
0,33,0.27522,14.20,-1.74,66.60,1.45,-6.67,405.82
0,34,0.28351,13.87,-1.78,69.93,-39.04,-4.99,402.95
0,35,0.29187,13.42,-1.82,73.26,-53.65,-4.29,397.45
0,36,0.30077,12.85,-1.85,76.56,-64.49,-3.40,371.53
0,37,0.30859,12.15,-1.87,79.84,-89.28,-3.21,419.10
0,38,0.31673,11.20,-1.89,83.09,-117.07,-1.70,399.25
0,39,0.32513,10.13,-1.89,86.30,-127.77,-1.02,381.85
0,40,0.33347,9.25,-1.91,89.57,-105.49,-2.09,392.31
0,41,0.34219,8.56,-1.94,92.88,-78.32,-2.99,379.72
0,42,0.35022,8.08,-1.97,96.23,-60.08,-4.35,417.49
0,43,0.35851,7.80,-2.02,99.61,-33.89,-5.24,407.00
0,44,0.36679,7.67,-2.07,102.97,-15.84,-5.98,406.26
0,45,0.37520,7.56,-2.12,106.34,-13.43,-5.98,400.73
0,46,0.38342,7.44,-2.17,109.71,-13.73,-6.13,409.65
0,47,0.39192,7.33,-2.22,113.08,-13.29,-5.91,396.41
0,48,0.40074,7.23,-2.27,116.57,-11.76,-5.99,396.19
0,49,0.40857,7.12,-2.32,120.07,-13.26,-6.70,446.39
0,50,0.41681,7.01,-2.38,123.69,-13.33,-6.61,439.63
0,51,0.42535,6.87,-2.43,127.31,-16.79,-6.24,423.57
0,52,0.43358,6.57,-2.48,131.06,-36.36,-5.93,456.03
