trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-4.91,5.46,-15.85
0,1,0.00845,-0.04,0.04,-0.13,-4.69,4.24,-15.16
0,2,0.01666,-0.08,0.07,-0.26,-4.83,4.73,-15.61
0,3,0.02512,-0.12,0.11,-0.38,-4.69,4.18,-15.16
0,4,0.03336,-0.16,0.15,-0.51,-4.81,4.46,-15.56
0,5,0.04175,-0.20,0.18,-0.64,-4.73,4.54,-15.27
0,6,0.05005,-0.26,0.26,-0.90,-7.35,8.71,-31.62
0,7,0.05850,-0.32,0.33,-1.17,-7.22,8.46,-31.05
0,8,0.06677,-0.38,0.40,-1.43,-7.38,8.35,-31.73
0,9,0.07526,-0.44,0.47,-1.69,-7.19,8.23,-30.94
0,10,0.08340,-0.50,0.54,-1.95,-7.49,8.47,-32.21
0,11,0.09183,-0.56,0.61,-2.22,-7.25,8.29,-31.16
0,12,0.10010,-0.65,0.70,-2.57,-10.33,11.86,-43.17
0,13,0.10852,-0.74,0.80,-2.93,-10.14,11.28,-42.39
0,14,0.11679,-0.82,0.89,-3.29,-10.33,11.49,-43.17
0,15,0.12515,-0.91,0.99,-3.64,-10.22,11.52,-42.70
0,16,0.13342,-0.99,1.09,-4.00,-10.33,11.39,-43.17
0,17,0.14188,-1.08,1.18,-4.36,-10.11,11.05,-42.24
0,18,0.15015,-1.16,1.27,-4.71,-10.33,11.03,-43.17
0,19,0.15857,-1.25,1.36,-5.07,-10.14,10.74,-42.39
0,20,0.16684,-1.33,1.45,-5.43,-10.33,10.68,-43.17
0,21,0.17520,-1.42,1.54,-5.79,-10.22,10.71,-42.70
0,22,0.18344,-1.50,1.63,-6.15,-10.00,10.79,-44.07
0,23,0.19186,-1.58,1.72,-6.51,-9.78,10.69,-43.12
0,24,0.20020,-1.67,1.81,-6.88,-9.89,10.81,-43.59
0,25,0.20859,-1.75,1.90,-7.24,-9.82,10.73,-43.27
0,26,0.21683,-1.83,1.99,-7.60,-10.00,10.93,-44.07
0,27,0.22540,-1.91,2.08,-7.97,-9.61,10.50,-42.35
0,28,0.23352,-2.00,2.17,-8.33,-10.15,11.09,-44.74
0,29,0.24194,-2.08,2.26,-8.69,-9.78,10.69,-43.12
0,30,0.25021,-2.16,2.35,-9.05,-9.96,10.83,-43.91
0,31,0.25861,-2.24,2.44,-9.42,-9.82,10.73,-43.27
0,32,0.26685,-2.33,2.52,-9.69,-11.11,9.52,-32.59
0,33,0.27527,-2.43,2.60,-9.95,-10.87,9.56,-31.88
0,34,0.28351,-2.52,2.68,-10.22,-11.11,9.91,-32.59
0,35,0.29202,-2.61,2.76,-10.49,-10.75,9.32,-31.54
0,36,0.30020,-2.70,2.84,-10.76,-11.19,9.87,-32.84
0,37,0.30862,-2.79,2.92,-11.03,-10.87,9.35,-31.52
0,38,0.31689,-2.91,2.98,-11.16,-13.65,7.15,-15.87
0,39,0.32532,-3.02,3.03,-11.29,-13.41,6.75,-15.58
0,40,0.33362,-3.13,3.09,-11.42,-13.60,6.76,-15.81
0,41,0.34192,-3.24,3.15,-11.55,-13.60,6.88,-15.81
0,42,0.35025,-3.36,3.20,-11.68,-13.55,6.77,-15.75
0,43,0.35864,-3.47,3.27,-11.81,-13.45,8.15,-15.64
0,44,0.36694,-3.59,3.30,-11.79,-13.97,2.99,2.57
0,45,0.37540,-3.70,3.32,-11.77,-13.72,2.94,2.53
0,46,0.38358,-3.82,3.34,-11.75,-14.18,3.04,2.61
0,47,0.39200,-3.93,3.37,-11.72,-13.77,3.01,2.90
0,48,0.40027,-3.99,3.34,-11.54,-7.38,-3.20,22.51
0,49,0.40872,-4.06,3.32,-11.35,-7.22,-2.75,22.02
0,50,0.41708,-4.12,3.30,-11.17,-7.30,-2.97,22.26
0,51,0.42532,-4.17,3.27,-10.98,-7.04,-3.19,22.96
0,52,0.43362,-4.13,3.19,-10.68,5.88,-9.26,36.40
0,53,0.44202,-4.08,3.11,-10.37,5.82,-9.35,36.00
0,54,0.45026,-4.03,3.05,-10.07,5.93,-7.44,36.67
0,55,0.45877,-3.98,2.97,-9.77,5.73,-9.37,35.48
0,56,0.46704,-3.93,2.89,-9.47,5.90,-9.47,36.53
0,57,0.47537,-3.88,2.82,-9.16,5.86,-9.50,36.26
0,58,0.48367,-3.72,2.71,-8.87,19.85,-12.44,35.66
0,59,0.49203,-3.55,2.60,-8.57,19.71,-12.88,35.40
0,60,0.50027,-3.39,2.50,-8.28,20.00,-13.05,35.93
0,61,0.50873,-3.22,2.39,-7.98,19.49,-12.72,35.02
0,62,0.51700,-3.06,2.29,-7.68,19.93,-12.60,35.79
0,63,0.52539,-2.89,2.19,-7.39,19.64,-11.46,35.27
0,64,0.53369,-2.73,2.09,-7.09,19.85,-11.40,35.66
0,65,0.54211,-2.56,2.00,-6.80,19.57,-11.47,35.14
0,66,0.55051,-2.33,1.91,-6.60,27.64,-10.75,22.91
0,67,0.55881,-2.10,1.82,-6.41,27.94,-11.06,23.16
0,68,0.56708,-1.87,1.72,-6.22,28.04,-11.05,23.25
0,69,0.57550,-1.64,1.63,-6.03,27.54,-10.71,22.83
0,70,0.58377,-1.40,1.54,-5.83,28.04,-11.05,23.25
