trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,353.57,-17.71,109.92
0,1,0.00842,2.27,-0.11,0.70,269.20,-13.53,83.70
0,2,0.01685,4.53,-0.23,1.41,269.20,-13.48,83.70
0,3,0.02521,6.83,-0.34,2.11,274.09,-13.72,84.31
0,4,0.03348,9.22,-0.46,2.82,289.30,-14.45,85.61
0,5,0.04187,11.63,-0.58,3.52,287.27,-14.31,83.27
0,6,0.05081,14.11,-0.70,4.19,277.82,-13.71,74.40
0,7,0.05927,16.66,-0.83,4.87,301.44,-14.91,80.87
0,8,0.06689,19.16,-0.95,5.54,327.20,-16.15,87.60
0,9,0.07529,21.64,-1.08,6.20,296.00,-14.59,79.27
0,10,0.08377,24.13,-1.20,6.87,292.81,-14.48,78.42
0,11,0.09268,26.57,-1.32,7.53,274.66,-13.58,73.63
0,12,0.10037,28.96,-1.44,8.16,309.52,-15.28,82.54
0,13,0.10916,31.23,-1.55,8.76,259.38,-12.80,68.75
0,14,0.11710,33.37,-1.64,9.32,268.85,-10.97,70.00
0,15,0.12549,35.45,-1.73,9.87,248.00,-11.16,65.45
0,16,0.13388,37.37,-1.82,10.40,228.73,-10.38,63.27
0,17,0.14218,39.20,-1.90,10.91,220.59,-9.98,61.03
0,18,0.15112,40.77,-1.97,11.34,175.09,-7.94,48.12
0,19,0.15955,42.26,-2.04,11.75,177.17,-8.00,48.91
0,20,0.16711,43.55,-2.10,12.10,170.97,-7.77,46.77
0,21,0.17563,44.74,-2.15,12.44,140.14,-6.36,39.43
0,22,0.18399,45.72,-2.20,12.74,116.06,-5.30,35.77
0,23,0.19275,46.63,-2.24,13.02,104.88,-4.83,32.40
0,24,0.20068,47.41,-2.27,13.26,97.69,-4.47,30.38
0,25,0.20914,48.14,-2.31,13.49,87.00,-3.99,27.08
0,26,0.21747,48.77,-2.34,13.69,75.09,-3.44,23.44
0,27,0.22592,49.35,-2.36,13.85,68.59,-3.11,19.86
0,28,0.23416,49.80,-2.38,13.95,55.19,-2.45,11.48
0,29,0.24295,50.22,-2.40,14.02,47.22,-2.07,8.33
0,30,0.25082,50.53,-2.41,14.03,39.15,-1.60,1.16
0,31,0.25995,50.79,-2.42,14.02,29.10,-1.17,-1.34
0,32,0.26761,50.98,-2.43,13.96,24.30,-0.86,-7.97
0,33,0.27591,51.12,-2.44,13.88,16.54,-0.54,-9.93
0,34,0.28470,51.16,-2.44,13.75,5.21,0.05,-14.58
0,35,0.29327,51.21,-2.44,13.62,5.34,0.01,-14.95
0,36,0.30164,51.25,-2.43,13.49,5.47,0.03,-15.69
0,37,0.30936,51.30,-2.43,13.36,5.93,0.03,-16.60
0,38,0.31769,51.35,-2.43,13.23,5.49,0.03,-15.38
0,39,0.32611,51.36,-2.43,13.10,1.45,0.20,-15.58
0,40,0.33453,51.30,-2.43,12.97,-6.52,0.52,-15.58
0,41,0.34299,51.25,-2.42,12.84,-6.50,0.50,-15.52
0,42,0.35181,51.19,-2.42,12.71,-6.23,0.52,-14.88
0,43,0.35959,51.14,-2.41,12.57,-7.45,0.59,-17.25
0,44,0.36829,51.08,-2.41,12.44,-6.32,0.48,-15.09
0,45,0.37634,51.03,-2.41,12.31,-6.82,0.57,-16.29
0,46,0.38467,50.97,-2.40,12.18,-6.59,0.51,-15.75
0,47,0.39301,50.89,-2.40,12.04,-9.16,0.66,-17.22
0,48,0.40134,50.78,-2.39,11.87,-13.92,0.89,-19.41
0,49,0.41028,50.66,-2.38,11.71,-12.97,0.81,-18.09
0,50,0.41858,50.54,-2.37,11.55,-14.34,0.92,-19.85
0,51,0.42648,50.43,-2.37,11.39,-14.67,0.94,-20.46
0,52,0.43472,50.31,-2.36,11.22,-14.07,0.87,-19.63
0,53,0.44315,50.20,-2.35,11.06,-13.77,0.88,-19.20
0,54,0.45215,50.08,-2.34,10.90,-12.88,0.82,-17.97
0,55,0.45981,49.96,-2.34,10.70,-15.14,1.05,-25.90
0,56,0.46817,49.85,-2.33,10.45,-13.14,1.03,-29.93
0,57,0.47675,49.74,-2.32,10.20,-12.81,0.98,-29.18
0,58,0.48495,49.63,-2.31,9.95,-13.38,1.07,-30.48
0,59,0.49338,49.52,-2.30,9.70,-13.04,1.00,-29.71
0,60,0.50223,49.41,-2.29,9.45,-12.41,0.95,-28.28
0,61,0.51001,49.32,-2.29,9.18,-12.16,1.09,-34.51
0,62,0.51901,49.25,-2.28,8.90,-7.80,0.81,-31.19
0,63,0.52676,49.18,-2.27,8.62,-9.06,0.95,-36.22
0,64,0.53519,49.11,-2.26,8.34,-8.33,0.91,-33.33
0,65,0.54355,49.04,-2.26,8.06,-8.39,0.87,-33.58
0,66,0.55240,48.97,-2.25,7.78,-7.93,0.84,-31.72
0,67,0.56021,48.90,-2.24,7.50,-8.98,0.96,-35.94
0,68,0.56851,48.83,-2.23,7.22,-8.46,0.90,-33.82
0,69,0.57706,48.77,-2.23,6.96,-6.43,0.75,-29.64
0,70,0.58530,48.74,-2.22,6.75,-4.07,0.60,-26.30
0,71,0.59372,48.71,-2.22,6.53,-3.99,0.57,-25.72
0,72,0.60193,48.67,-2.21,6.31,-4.09,0.60,-26.39
0,73,0.61093,48.64,-2.21,6.10,-3.73,0.53,-24.07
0,74,0.61942,48.60,-2.20,5.87,-4.32,0.63,-26.26
0,75,0.62708,48.57,-2.20,5.70,-3.98,0.51,-22.71
0,76,0.63544,48.54,-2.20,5.58,-3.28,0.39,-14.23
0,77,0.64395,48.52,-2.19,5.46,-3.23,0.36,-13.98
0,78,0.65274,48.49,-2.19,5.34,-3.12,0.35,-13.54
0,79,0.66052,48.46,-2.19,5.22,-3.53,0.38,-15.29
0,80,0.66956,48.43,-2.18,5.11,-3.04,0.32,-13.18
0,81,0.67731,48.41,-2.18,4.99,-3.54,0.42,-15.35
0,82,0.68561,48.38,-2.18,4.87,-3.31,0.35,-14.34
0,83,0.69412,48.35,-2.17,4.75,-3.23,0.38,-13.98
0,84,0.70270,48.32,-2.17,4.63,-3.20,0.36,-13.88
0,85,0.71075,48.30,-2.17,4.51,-3.03,0.36,-14.39
0,86,0.71957,48.28,-2.17,4.40,-2.08,0.28,-13.15
0,87,0.72748,48.26,-2.16,4.28,-2.32,0.34,-14.67
0,88,0.73578,48.25,-2.16,4.17,-2.21,0.32,-13.97
