trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,52.48,-28.58,365.60
0,1,0.00797,0.38,-0.20,2.62,47.13,-25.69,329.12
0,2,0.01624,0.74,-0.41,5.25,43.54,-24.83,317.34
0,3,0.02478,1.02,-0.62,7.87,33.57,-24.22,307.14
0,4,0.03323,1.14,-0.83,10.48,14.08,-24.69,308.30
0,5,0.04138,1.21,-1.03,13.08,8.24,-25.68,319.85
0,6,0.04965,1.24,-1.25,15.69,3.69,-25.44,315.13
0,7,0.05807,1.22,-1.45,18.27,-1.81,-24.82,306.52
0,8,0.06641,1.10,-1.66,20.75,-14.65,-24.35,297.44
0,9,0.07489,0.93,-1.72,23.17,-20.50,-7.21,285.25
0,10,0.08310,0.66,-1.79,25.36,-32.71,-8.86,266.91
0,11,0.09152,0.31,-1.85,27.60,-41.67,-7.02,266.30
0,12,0.09995,-0.23,-1.92,30.06,-63.41,-7.97,292.03
0,13,0.10825,-0.86,-1.99,32.55,-76.10,-8.33,299.26
0,14,0.11642,-1.71,-2.06,35.16,-103.73,-9.22,319.03
0,15,0.12485,-2.62,-2.14,37.74,-108.33,-9.00,307.25
0,16,0.13315,-3.59,-2.21,40.31,-116.91,-9.18,309.19
0,17,0.14142,-4.54,-2.29,42.89,-114.76,-9.22,311.81
0,18,0.14972,-5.23,-2.37,45.57,-83.82,-9.03,323.53
0,19,0.15848,-5.98,-2.44,48.25,-85.02,-8.61,305.23
0,20,0.16660,-6.75,-2.52,50.92,-95.11,-9.33,328.57
0,21,0.17499,-7.53,-2.59,53.57,-92.36,-8.98,316.36
0,22,0.18338,-8.20,-2.67,56.21,-80.00,-8.75,314.55
0,23,0.19150,-8.87,-2.74,58.85,-83.08,-9.07,325.19
0,24,0.19955,-9.55,-2.81,61.49,-84.09,-9.13,327.65
0,25,0.20798,-10.24,-2.89,64.13,-81.52,-8.75,313.04
0,26,0.21628,-10.93,-2.96,66.76,-83.82,-8.87,317.28
0,27,0.22464,-11.63,-3.03,69.37,-83.21,-8.74,311.68
0,28,0.23294,-12.30,-3.10,71.86,-81.62,-8.44,300.37
0,29,0.24118,-12.98,-3.17,74.35,-82.22,-8.50,302.59
0,30,0.24969,-13.66,-3.24,76.85,-79.93,-8.24,292.83
0,31,0.25790,-14.36,-3.31,79.34,-84.76,-8.58,303.72
0,32,0.26633,-15.12,-3.38,81.85,-90.58,-8.50,297.46
0,33,0.27484,-15.91,-3.46,84.33,-92.83,-8.41,292.11
0,34,0.28299,-16.80,-3.53,86.75,-109.36,-8.77,296.63
0,35,0.29156,-17.72,-3.60,89.19,-107.12,-8.45,285.05
0,36,0.29971,-18.77,-3.68,91.78,-128.46,-9.55,317.60
0,37,0.30823,-19.83,-3.76,94.39,-124.37,-9.23,306.09
0,38,0.31638,-20.98,-3.84,97.18,-141.20,-10.35,343.07
0,39,0.32468,-22.15,-3.93,100.01,-140.81,-10.29,340.44
0,40,0.33304,-23.38,-4.02,102.94,-147.81,-10.65,351.09
0,41,0.34146,-24.62,-4.10,105.88,-146.74,-10.58,348.55
0,42,0.34973,-25.85,-4.19,108.82,-149.45,-10.77,354.98
0,43,0.35818,-27.10,-4.28,111.76,-147.29,-10.55,347.65
0,44,0.36661,-28.38,-4.37,114.71,-152.17,-10.71,350.72
0,45,0.37494,-29.66,-4.46,117.66,-153.48,-10.82,354.58
0,46,0.38321,-30.91,-4.46,120.63,-151.66,0.52,358.30
0,47,0.39151,-32.11,-4.46,123.61,-144.49,0.30,359.93
0,48,0.40002,-33.24,-4.45,126.63,-132.26,0.30,354.12
0,49,0.40826,-34.29,-4.45,129.67,-127.41,0.31,369.26
0,50,0.41653,-35.26,-4.45,132.74,-117.71,0.31,371.22
0,51,0.42487,-36.16,-4.45,135.81,-107.33,0.30,368.13
0,52,0.43323,-36.98,-4.44,138.81,-98.18,0.29,358.39
0,53,0.44153,-37.76,-4.44,141.82,-94.12,0.29,362.50
0,54,0.44986,-38.50,-4.44,144.83,-89.01,0.29,362.27
0,55,0.45813,-39.21,-4.44,147.84,-85.98,0.29,363.10
0,56,0.46643,-39.88,-4.43,150.76,-80.88,0.28,352.57
0,57,0.47479,-40.52,-4.43,153.63,-75.55,0.28,343.43
0,58,0.48331,-41.07,-4.43,156.29,-65.59,0.25,311.83
0,59,0.49182,-41.61,-4.43,158.95,-62.72,0.25,312.54
0,60,0.49985,-42.11,-4.43,161.62,-63.12,0.26,332.32
0,61,0.50848,-42.59,-4.42,164.29,-54.77,0.25,309.54
0,62,0.51660,-43.02,-4.42,166.97,-53.38,0.26,330.08
0,63,0.52481,-43.41,-4.42,169.64,-46.84,0.26,325.65
0,64,0.53333,-43.69,-4.42,172.28,-32.97,0.24,310.04
0,65,0.54132,-43.90,-4.42,174.91,-27.10,0.25,328.63
0,66,0.54990,-44.00,-4.41,177.47,-11.74,0.23,298.93
0,67,0.55807,-44.07,-4.41,180.04,-8.21,0.24,313.43
0,68,0.56638,-44.10,-4.41,182.60,-4.04,0.23,308.82
0,69,0.57513,-44.07,-4.41,185.17,3.48,0.22,293.03
0,70,0.58340,-43.91,-4.41,187.73,19.19,0.23,310.33
0,71,0.59152,-43.71,-4.40,190.30,24.81,0.23,315.79
0,72,0.59998,-43.45,-4.40,192.86,31.41,0.22,302.53
0,73,0.60806,-43.12,-4.40,195.41,40.75,0.23,315.47
0,74,0.61636,-42.73,-4.40,197.95,47.06,0.22,306.25
0,75,0.62476,-42.27,-4.40,200.48,54.18,0.21,301.45
